histone,BMP2_24,BMP2_4,BMP2_48,BMP2_8,ctrl_0,EGF_24,EGF_4,EGF_48,EGF_8,HGF_24,HGF_4,HGF_48,HGF_8,IFNG_24,IFNG_4,IFNG_48,IFNG_8,OSM_24,OSM_4,OSM_48,OSM_8,PBS_24,PBS_4,PBS_48,PBS_8,TGFB_24,TGFB_4,TGFB_48,TGFB_8
H3K18ac0K23ac0,-1.042317394,-1.147035669,-0.8996410015,-1.258994403,-1.312415143,-1.31536281,-1.323490138,-1.188601325,-1.383514866,-1.127861618,-1.319107919,-1.2417010450000001,-1.324031988,-1.567704319,-1.249891183,-1.133848424,-1.119388675,-1.396638596,-1.306482078,-1.444705579,-1.168756634,-1.162196878,-1.309445424,-1.145123006,-1.375921753,-1.359167287,-1.212529057,-0.643572841,-1.290485819
H3K18ac0K23ac1,-2.315952097,-2.016438542,-1.537748044,-2.023350338,-2.161033679,-2.218282067,-2.203340355,-1.784159373,-1.990851217,-2.001592923,-2.107621931,-1.7726657125,-2.119921602,-3.213514288,-2.267582816,-2.642675783,-2.327339619,-2.143087599,-2.440972248,-2.255581852,-2.140009345,-1.78957773,-2.271456446,-1.623280155,-2.16292838,-2.284007037,-1.806297927,-1.8260738605,-2.285175851
H3K18ac1K23ac0,-2.167727531,-2.027609693,-1.7312083605000002,-2.01729525,-1.937563208,-2.230021852,-2.104757743,-1.713073778,-2.282686488,-2.017080637,-2.157429427,-1.7495200579999999,-2.034404474,-2.24282942,-2.055435194,-1.811385583,-2.028557587,-2.060604778,-2.373966507,-1.929617671,-1.932918005,-1.932767003,-2.062673061,-1.673246334,-1.926914502,-2.528923911,-1.977786785,-1.7333428715,-2.294589681
H3K18ac1K23ac1,-2.451160769,-2.629523742,-2.0670607825,-2.564942893,-2.570316947,-2.62431723,-2.881463135,-2.19923423,-2.746764149,-2.198939854,-2.63184198,-2.16973263,-2.254682614,-3.227454772,-2.933207396,-2.916390501,-2.755918689,-2.747446563,-2.811549223,-2.320572788,-2.764214452,-2.587853262,-3.058816336,-2.169939876,-2.521646582,-2.968318834,-2.561371381,-2.040328156,-2.86583068
H3K18ub1K23ac0,-5.454678865,-6.38081551,-4.604784199,-7.032715706,-6.572953338,-5.385545292,-6.298136545,-4.641368478,-6.664702394,-6.199290704,-6.326031154,-5.960621259,-6.545070572,-4.971371924,-6.504580761,-4.959727049,-6.585938765,-5.386748327,-6.253228694,-5.475190905,-6.058940392,-7.229973088,-6.569994577,-6.927368571,-6.407233066,-5.798805039,-6.484365618,-4.9170505385,-6.863972942
H3K27ac1K36me0,-4.5231889899999995,-5.7712247565,-3.845617678,-5.557386739,-5.441316999,-3.852164519,-5.922656894,-3.122529148,-5.356496433,-4.3675023285,-5.859619182,-3.862195137,-5.484305933,-3.839106832,-5.850462835,-4.3955855345,-5.627606705,-3.988783163,-5.4704181455,-4.0285638985,-5.113344136,-6.178141479000001,-5.181544519,-7.155600879,-5.261230055,-5.035865722,-6.002960798,NA,-6.163241574
H3K27ac1K36me1,-5.052985527000001,-5.93100527,-4.3639131685,-6.029155151,-5.256273684,-4.188186323,-5.750615149,-3.392240074,-6.018207153500001,-4.961715808999999,-5.625209842,-4.1082949435,-5.604198655,-4.850795676,-5.663352916,-4.693931345499999,-5.919049871,-4.4951237504999995,-5.426027075,-4.266803333,-5.894084223,-6.5337648395,-5.8167818625,-6.265890842,-5.319903751,-5.460768646,-5.756610998499999,-4.223556288,-5.804730831
H3K27ac1K36me2,-3.325477941,-3.143506796,-2.696406934,-3.268276072,-2.867610732,-3.121763491,-3.184017107,-2.221221032,-3.307428745,-3.378631316,-3.094392134,-2.6691078655,-3.136963986,-3.2903743580000002,-3.284046177,-2.963450795,-3.456211598,-3.192685464,-3.392857958,-2.737856135,-3.318839775,-3.143644772,-3.329410497,-3.557623299,-3.067852612,-3.852116852,-3.09386332,-3.373579297,-3.378110847
H3K27ac1K36me3,-5.171181289,-4.61468075,-4.545448028,-4.831898514,-4.407624219,-5.046782259,-4.666868247,-4.484782524,-4.847346539,-4.85314572,-4.390531541,-4.5477272175,-4.593010408,-4.969029947,-4.519181395,-4.575917792,-4.563446923,-5.051100566,-4.753405376,-4.815605944,-4.817292435,-4.856358182,-4.711088845,-5.163602178,-4.543324871,-5.547826,-4.66948858,-4.888436303500001,-5.085633151
H3K27me0K36me0,0.185200035,-0.570637674,0.5045047085,-0.388721723,-0.337917762,0.350352076,-0.028586035,0.843307831,-0.380218008,0.139844145,-0.427231916,0.2311908405,-0.46902757,0.321158834,-0.401859928,0.449783398,-0.531766818,0.313928353,-0.312028083,0.581028905,-0.135789601,-0.820775236,-0.45211616,-0.866349295,-0.302448066,-0.230916748,-0.444507281,0.753637165,-0.433380164
H3K27me0K36me1,0.503613369,-0.120341457,1.1752414034999998,-0.253323823,-0.021728552,1.426199457,-0.209593643,1.577008172,-0.138401327,0.687485099,-0.184239216,0.8768386825000001,0.186560685,0.873202848,-0.075305648,0.831088084,-0.114316025,0.82465064,0.12473091,1.527026979,-0.202034941,-0.210238178,-0.117266386,-0.476708391,0.185590767,0.482850582,-0.153870907,1.3914819244999999,-0.168495398
H3K27me0K36me2,-0.855180739,-0.964325664,-0.5622338425,-0.73569759,-0.549280335,-0.518986716,-0.73885858,-0.118327147,-0.81563183399999994,-0.569937991,-0.753030633,-0.4078273185,-0.801715637,-0.713221828,-0.607866991,-0.829153964,-1.058798214,-0.504579075,-0.771108905,-0.289805446,-0.721497033,-0.83801024,-0.924309074,-1.156826943,-0.638463913,-0.795673694,-0.814857956,-0.5098662925,-0.980532438
H3K27me0K36me3,-2.973761243,-2.919798828,-2.8364035684999997,-2.867954685,-2.768353615,-2.915717001,-2.883219872,-2.517116895,-2.805656416,-2.974592949,-2.713945026,-3.0919697645,-2.697878679,-2.992238342,-2.709027174,-2.944589665,-2.748277962,-2.788076734,-2.904806329,-2.471731105,-2.787676922,-2.91468886,-2.816969457,-3.18657025,-2.727893006,-3.051773936,-2.572936217,-2.9396730665,-2.801999656
H3K27me1K36me0,-0.056788082,-0.276374399,0.270144408,-0.152775971,-0.240844534,0.006434373,-0.335644689,0.239898314,-0.200126748,-0.21778493300000001,-0.267940111,0.0283709325,-0.13017453,-0.113861036,-0.118712954,-0.117820614,-0.158814117,-0.09795006,-0.447768229,0.308380586,-0.17471955,-0.13814409,-0.465887613,-0.232768971,-0.06461621,-0.266280541,-0.151609667,0.390067201,-0.3118158
H3K27me1K36me1,-0.222651262,-0.440303856,0.064951837,-0.519604378,-0.467139661,-0.037815277,-0.523617169,0.183091816,-0.522724592,-0.510877959,-0.390089795,-0.0806839285,-0.559959244,-0.116337137,-0.36421175,-0.105267463,-0.507329018,-0.330680805,-0.598917832,0.30037687,-0.391182826,-0.534656107,-0.544643893,-0.366337091,-0.468351595,-0.436759325,-0.447582821,0.416599243,-0.482865064
H3K27me1K36me2,-2.422998221,-2.3829124365,-2.406280477,-2.143987244,-2.172052771,-2.29525502,-2.485367931,-2.458155285,-2.0581955,-2.373434457,-2.267255249,-2.497460077,-2.135237109,-2.696558397,-2.205431396,-2.458944271,-1.781131396,-2.46162734,-2.244406739,-2.0940776425,-2.16402292,-2.0706929179999998,-2.3145219404999997,-2.242547125,-2.261461705,-2.383400417,-2.086419204,-2.672361057,-2.377684395
H3K27me1K36me3,-1.224266029,-1.053900452,-1.2788732509999998,-0.763005979,-1.082447385,-1.216160652,-1.129011239,-1.229156834,-1.036428142,-1.171234442,-1.157035023,-1.277251879,-1.081135184,-1.154111773,-0.862826411,-1.233492369,-1.041581565,-1.213817433,-1.025195167,-1.325816458,-0.959151914,-1.121749082,-1.12466996,-1.196037137,-1.135242196,-0.921688769,-1.068674234,-1.0719987995,-1.015194831
H3K27me2K36me0,-1.53079054,-1.449352814,-1.268603484,-1.662879079,-1.446230073,-1.487767245,-1.784133964,-1.312439288,-1.551521254,-1.53731617,-1.561467822,-1.610561562,-1.317443934,-1.680434535,-1.557251966,-1.553092049,-1.785434161,-1.68802428,-1.55252828,-1.4922590040000001,-1.42438444,-1.390050686,-1.587901713,-1.559953742,-1.632872525,-1.616560034,-1.0272999,-1.36750386,-1.294755926
H3K27me2K36me1,-0.25377068,-0.337806681,-0.3961911075,-0.426180379,-0.308345903,-0.395134221,-0.438701274,-0.349991788,-0.292635655,-0.174009025,-0.242002045,-0.730735514,-0.060725075,-0.3807415,-0.233335069,-0.257299635,-0.113532734,-0.303372169,-0.405342881,-0.461020539,-0.272714643,-0.183867712,-0.560275081,-0.157315978,-0.252117773,-0.306166781,0.071531409,-0.3353938675,-0.225948809
H3K27me2K36me2,-1.145193374,-0.83997488,-1.354473695,-0.405442724,-0.687013993,-0.915605636,-0.734738181,-1.18083099,-0.964451064,-0.951342457,-0.6782182,-1.0929124319999999,-0.531587704,-0.922529299,-0.385563645,-1.27361317,-0.931962591,-1.046683544,-0.519791799,-1.089605959,-0.970117446,-0.590972231,-0.534434462,-0.759866713,-0.716847164,-0.664664675,-0.71989905,-1.307988028,-0.853851283
H3K27me3K36me0,-1.562190805,-1.453012482,-1.527247236,-1.494924665,-1.587471008,-1.725555967,-1.433837563,-1.839075878,-1.369245258,-1.422741001,-1.564345707,-1.4704589614999999,-1.3890097,-1.782349819,-1.370519064,-1.581808834,-1.540595208,-1.718000445,-1.406221213,-1.66861838,-1.355210626,-1.4594523,-1.667667682,-1.413032133,-1.524163813,-1.462521457,-1.120502485,-1.6513347500000002,-1.384088325
H3K27me3K36me1,-0.36000559,-0.583043472,-0.5817766285,-0.450492876,-0.614183342,-0.266195072,-0.623684084,-0.796331947,-0.556838925,-0.436664702,-0.658323326,-0.6246320775,-0.409762351,-0.415121518,-0.622344814,-0.568993676,-0.429776417,-0.604782209,-0.615440686,-0.727130827,-0.539651054,-0.358126494,-0.690717474,-0.217454887,-0.565609207,-0.327479221,-0.611176233,-0.38110976399999996,-0.539990714
H3K27me3K36me2,-0.68598329,-0.765545256,-1.103528203,-0.5970767,-0.604619773,-0.609451394,-0.61533618,-1.189286362,-0.670415352,-0.852337561,-0.861010428,-0.836816963,-0.470708265,-0.734517258,-0.540316064,-1.53950945,-0.912997438,-1.343510838,-0.905602764,-1.164586537,-0.390591365,-0.516949514,-0.673149544,-0.666527413,-0.929775445,-0.298074013,-0.728512697,-1.557834151,-0.301533371
H3K27me3K36me3,-1.732442609,-1.734923603,-1.999690035,-1.79380686,-2.011378443,-1.706732559,-1.831541401,-2.227034044,-1.569789706,-2.1800059765,-1.826705954,-2.1691064875,-1.797147079,-1.63886811,-1.497476381,-2.206517958,-1.840025724,-1.754994236,-2.0067342,-1.966944964,-1.645738571,-1.726727664,-1.847486195,-1.737010174,-1.7786333540000001,-1.561196383,-1.599731383,-2.1066630760000002,-1.627192964
H3K4ac1,-5.495407819,-5.396119871,-5.562990818499999,-5.37092319,-5.097279233,-5.618646172,-5.629794757,-5.140679568,-5.41698419,-4.837177348,-5.430235639,-4.783185995,-5.173266142,-7.48791356,-5.504519611,-6.7391069120000004,-5.419778369,-5.432555092,-5.753940679,-6.6236925719999995,-5.713643616,-5.384893904,-5.576155335,-4.772544495,-5.477992604,-6.512403625,-5.497268223,-5.259866238,-5.485643258
H3K4me0,-0.899828711,-0.79755202,-0.8740398580000001,-0.90430958,-0.677266433,-0.909058424,-0.685410053,-0.807035239,-0.641991284,-1.158528175,-0.768741658,-0.7360383255,-0.799975453,-1.873667993,-0.699590554,-1.56669587,-0.876912487,-0.759364018,-0.948499285,-0.913791894,-0.621502284,-0.745474723,-0.916925066,-0.656896319,-0.664830676,-1.504589302,-0.792181775,-0.8123889945,-0.952015015
H3K4me1,-1.31010595,-1.050151373,-1.4955245045,-1.082988732,-1.297241147,-1.394724802,-1.129123503,-1.424207081,-1.133090503,-0.950421449,-1.14968326,-1.2684718495,-1.19947197,-2.688582287,-1.223629117,-2.300656317,-1.046737813,-1.200052876,-1.154625428,-1.506304852,-1.182475112,-0.95798675,-1.302238443,-0.936964018,-1.219927643,-2.002975541,-1.127241904,-1.306295725,-1.260610084
H3K4me2,-1.748599235,-1.415747303,-1.7643683289999998,-1.512945435,-1.228742746,-1.718511111,-1.635254733,-1.428066746,-1.653210985,-1.259873866,-1.311029365,-1.2863059005,-1.573619041,-2.447736663,-1.51871997,-2.468546709,-1.677955177,-1.42450857,-1.628433672,-2.000256069,-1.324779291,-1.44991445,-1.228139802,-1.250898984,-1.613631929,-1.911086934,-1.458963215,-1.5221736165,-1.530655911
H3K4me3,-2.397390293,-2.241888244,-2.4859631435000002,-2.319911369,-2.149114048,-2.431288772,-2.207858241,-2.269058894,-2.276219711,-2.240239117,-2.185860984,-2.2380177305,-2.187021583,-3.548012818,-2.292604361,-3.004929971,-2.311850433,-2.373769425,-2.316136953,-2.590092163,-2.22091994,-2.207921909,-2.325054766,-2.033947268,-2.225265498,-2.77698752,-2.292981832,-2.171687498,-2.42581633
H3K56me0,-0.436908833,-0.911232896,-0.426839091,-0.709133639,-0.868541373,-0.399144533,-0.872224344,-1.038296578,-0.640124269,-0.969024211,-1.13534832,-0.5587877125,-0.854595909,-0.326060893,-0.560237573,-0.928139421,-1.079602976,-0.915980397,-1.170485368,-0.561269051,-0.289819675,-0.594125101,-0.805346051,-0.434478444,-0.702471128,-0.807121026,-0.99104704,-0.2992438095,-0.62824709
H3K79me0,-2.134950094,-2.162067963,-2.013138735,-2.27073936,-2.344986194,-1.921595337,-1.998796351,-2.271852062,-1.904870066,-2.469994968,-2.34789715,-2.0584008585,-2.097210138,-2.008993473,-2.127171983,-2.261575187,-2.09401705,-2.440134133,-2.327152381,-2.082704144,-1.746715164,-1.876214306,-2.232528443,-2.120474169,-1.915354571,-2.198996058,-2.184346709,-2.1017146159999998,-2.239242485
