histone,BMP2_24,BMP2_4,BMP2_48,BMP2_8,ctrl_0,EGF_24,EGF_4,EGF_48,EGF_8,HGF_24,HGF_4,HGF_48,HGF_8,IFNG_24,IFNG_4,IFNG_48,IFNG_8,OSM_24,OSM_4,OSM_48,OSM_8,PBS_24,PBS_4,PBS_48,PBS_8,TGFB_24,TGFB_4,TGFB_48,TGFB_8
H3K79me1,-3.313414304,-3.333492709,-3.3175555295,-3.318099583,-3.434331212,-3.173746634,-3.04379824,-3.527694037,-2.793603339,-3.417469884,-3.203067067,-3.1763167880000003,-3.341638311,-2.912648978,-3.212582718,-3.8504702,-3.154394908,-3.512969384,-3.383083627,-3.116745152,-3.000746413,-3.228615431,-3.5164328,-2.968971442,-3.045962423,-3.453416705,-3.34279224,-3.1719557725,-3.146151944
H3K79me2,-2.299691507,-2.468619915,-2.1611101335000003,-2.096653665,-2.350278344,-2.182354756,-2.118950407,-2.683530128,-2.192710894,-2.350339771,-2.390883167,-2.248389496,-2.498877993,-2.08802599,-2.358796732,-2.579942094,-2.5938299,-2.355673272,-2.391882181,-2.327701705,-2.127299554,-2.055826422,-2.414240494,-2.037677069,-2.096776056,-1.977817079,-2.555892985,-2.5598930419999997,-2.353239831
H3K9ac1K14ac0,-1.711099679,-2.004480326,-1.3039904340000001,-1.864823977,-1.626614586,-2.04752279,-2.153540938,-1.282816784,-2.003263381,-1.668614482,-1.795205439,-1.3775761255,-1.645036912,-2.683014728,-2.103963093,-1.641629088,-2.056255578,-1.938760475,-2.148607144,-1.870579965,-1.969358031,-1.444916469,-1.789135538,-1.385393839,-1.54242683,-2.161149064,-1.892359209,-1.1596635174999999,-1.980549188
H3K9ac1K14ac1,-1.992891142,-1.897765349,-1.52465656,-1.880104057,-1.694179142,-2.001183923,-2.059545759,-1.2554707,-1.979598112,-1.346546154,-1.764220943,-1.2333676455,-1.761485401,-3.004696677,-2.261898927,-2.014216459,-2.100681769,-1.813077524,-1.939686554,-2.27584483,-1.813700277,-1.925848648,-2.070160899,-1.334727398,-1.854230896,-2.598499777,-1.793939513,-1.540815359,-1.946398025
H3K9me0K14ac0,-0.694776502,-1.17184399,-0.48209419200000003,-1.062317534,-1.041017114,-0.722058268,-1.090340434,-0.619991464,-0.812389237,-0.701041187,-1.214277814,-1.0388782645,-1.230735454,-1.018842653,-1.014114183,-0.436472601,-0.925463287,-0.708684573,-1.128683997,-0.781588431,-0.932693814,-1.225104077,-0.984248387,-1.072576636,-1.094564688,-0.943801306,-1.185092245,-0.046267204,-1.024415296
H3K9me0K14ac1,-0.694839885,-0.885249247,-0.24490311450000002,-0.959342819,-0.955708805,-0.610076578,-1.25958728,-0.181197139,-0.994905963,-0.80854183,-0.90224883,-0.744360369,-0.917527249,-1.562016144,-1.151340667,-0.874706577,-0.853141548,-0.587779091,-1.097227048,-0.461707227,-1.019958865,-1.030909792,-0.972590361,-0.873130263,-1.058838605,-1.173729699,-0.745870604,-0.3187294625,-0.916526686
H3K9me1K14ac0,-1.051108261,-0.952764559,-1.0023667454999998,-1.158732405,-1.271766612,-1.275276459,-1.302043619,-1.220448086,-1.161566921,-1.086327636,-1.330795749,-1.341172275,-1.072021137,-1.325699391,-1.467365718,-1.075296653,-0.984130622,-1.144473524,-1.179946255,-1.279334755,-1.108672486,-0.945465333,-1.224091391,-1.014975107,-1.137804574,-1.001119081,-1.209677991,-0.3710323095,-1.092973992
H3K9me1K14ac1,-1.331753023,-1.057261496,-1.068044025,-1.028321453,-1.119623634,-1.358739429,-1.29924065,-0.940492085,-1.123526643,-0.948649681,-1.040493366,-1.0643930744999999,-1.09194292,-2.155034435,-1.388304044,-1.608166479,-1.097006682,-1.181021162,-1.055879892,-1.315019499,-0.984414848,-0.977282883,-1.223460434,-0.756989137,-1.080190855,-1.675713032,-0.917043267,-0.784389747,-1.231335233
H3K9me2K14ac0,-0.755384127,-0.579959823,-0.7194376415,-0.746770825,-0.775114254,-0.735825259,-0.790503271,-0.905036847,-0.959884379,-0.119194171,-0.593837636,-0.8738810095,-0.641090677,-0.994496579,-0.865814654,-1.069030745,-0.437512006,-0.445812041,-0.765376034,-0.609968741,-0.418398465,-0.698267885,-0.954068718,-0.479129437,-0.648403235,-0.52290151,-0.539574541,-0.38906028000000004,-0.798697142
H3K9me2K14ac1,-2.170362728,-1.964177847,-1.970573012,-1.909261395,-1.855318911,-2.121333953,-2.185578725,-2.029071671,-2.095978149,-1.504660936,-1.803795772,-1.84828451,-2.044211478,-2.966365843,-2.055937765,-2.715213696,-1.931326324,-1.878749657,-1.902350603,-2.446581736,-1.780677779,-1.856801684,-2.294522258,-1.628406748,-1.984240952,-2.410857307,-1.968576158,-1.780906962,-2.155503512
H3K9me2S10ph1K14ac0,-4.385934159,-5.942854424,-3.5751321705,-5.677907056,-5.746982795,-3.447346912,-6.03936924,-3.340031935,-4.853010093,-4.614368294,-6.247276202,-4.051050503,-6.036570008,-4.227345345,-5.77597861,-3.879898151,-5.220396784,-3.579213947,-5.690045626,-3.833595879,-5.44264744,-5.72787651,-5.762707257,-7.205350638500001,-6.265831006,-4.324178633,-6.308897299,-2.84657744,-5.482418025
H3K9me2S10ph1K14ac1,-4.6941781995,-5.520174476499999,-3.584148396,-5.882416827,-5.7834851595,-3.392200187,-5.590625082,-3.435527007,-4.680539762,-4.8588730044999995,-6.194077919,-3.8633187515,-5.9234488585000005,-4.738938184,-6.081730804,-4.313360988,-4.8429761915,-3.6989382705000002,-4.988870842,-4.2124966960000005,-5.190079195,-6.591647025,-5.9522045845000005,NA,-5.711409791,-4.403908432,NA,-2.9750639029999997,-5.526194728
H3K9me3K14ac0,-2.208335345,-1.941611144,-2.1908497010000003,-2.082191718,-2.09302737,-2.265931838,-2.284297262,-2.216913123,-2.162165653,-1.98552446,-2.034683328,-2.2516821375,-2.158364478,-2.314404732,-1.791988958,-2.163213442,-1.958733008,-2.005494675,-2.454212905,-2.174134781,-1.943712668,-1.976063687,-2.339902761,-1.776681521,-2.180779111,-2.065966023,-2.531867899,-1.509385132,-2.045300891
H3K9me3K14ac1,-0.90876132,-0.832315219,-0.9385111254999999,-0.992334461,-0.89394758,-1.250478021,-1.127535703,-1.159383533,-0.839215128,-0.795809334,-0.94524649,-0.976577229,-0.859596309,-2.049525988,-1.020824952,-1.720577397,-0.95974248,-1.467296096,-1.388429464,-1.306342903,-0.835590651,-0.804667423,-0.908153643,-0.593724803,-0.811591562,-1.383604615,-1.087256322,-1.064347831,-0.903992349
H3K9me3S10ph1K14ac0,-2.705027995,-4.080484984,-2.0275401875,-3.683467481,-3.969760644,-1.460789293,-4.06071807,-1.496539081,-3.877531469,-2.9963447945,-4.682773194,-2.337080204,-4.765662709,-2.885324269,-3.965403402,-2.554348137,-3.36054751,-2.414568091,-3.572450178,-2.472424603,-3.824977471,-5.176572982,-4.212456428,NA,-4.042604601,-2.642958178,-4.102316734,-1.201876188,-3.772299331
H4(20to23)K20me0,-0.682411189,-2.3502751,-0.128698585,-2.803659246,-2.220007519,-0.116774873,-2.360990949,0.089988222,-2.344248383,-0.834477826,-2.319934915,-0.197260861,-2.688872557,0.101488708,-2.192343538,-0.231610338,-2.765612397,-0.525698076,-1.830629111,-0.362758088,-1.833350889,-3.45342638,-1.876765878,-4.115247752,-2.323893612,-1.423625729,-2.559451526,-0.263178274,-2.249267383
H4(20to23)K20me1,-0.750193229,-1.056381103,-0.0853741245,-1.264122574,-0.664814056,-0.350973793,-0.870386919,-0.035097613,-1.005501235,-0.838354605,-0.639824773,-0.33106818699999996,-0.999371422,0.074837696,-0.839744604,0.014447154,-1.088589113,-0.571482896,-0.590420636,-0.136226415,-0.351447305,-1.155489262,-0.379001548,-1.113627066,-0.5754475,-1.070215521,-1.146300621,-0.412587186,-0.756397196
H4(20to23)K20me2,-0.859279654,-0.732115876,-0.682588709,-0.752513142,-0.801408898,-0.897572653,-0.865847063,-1.286539622,-0.871975749,-0.824582389,-0.56821495,-0.7248771119999999,-1.247422207,-0.850245343,-0.957732932,-1.07639167,-1.101914324,-1.344477409,-0.907040901,-0.874190475,-0.745308546,-1.152121668,-0.689984335,-0.530805272,-0.841034197,-0.769585379,-1.168240661,-1.3703008744999998,-0.645455912
H4(20to23)K20me3,-1.155126986,-1.415606853,-1.1076244125,-1.543802169,-1.374064107,-0.968613872,-1.539282306,-1.988135937,-1.508956809,-1.009547404,-1.140597961,-1.260721993,-1.979704167,-1.484396565,-1.462600526,-1.839947277,-1.291552156,-1.543027737,-1.671019496,-1.487405495,-1.205310524,-1.145457167,-1.481890757,-0.647260847,-1.065137788,-1.030805179,-1.350839113,-1.6809602510000001,-1.004144703
H4(4to17)ac0me0,0.237692469,0.100053908,0.5657250645,8.39231e-4,-0.129139137,0.198594383,0.010891375,-0.354676071,-0.050588881,-0.011263308,0.081035825,0.136532407,-0.219728112,0.122614971,-0.267863802,-0.080552938,-0.067862445,-0.348372877,-0.069532154,0.369027697,0.173375377,-0.172414415,-0.017985377,0.042094218,0.001684918,0.394787457,-0.434400212,0.08458450249999999,0.302807487
H4(4to17)K12ac1K16ac1me0,-2.968372452,-2.603096329,-2.419602446,-2.779195406,-2.580974916,-2.989778848,-2.960514919,-2.575195359,-2.773510865,-2.500274874,-2.48248338,-2.323726088,-3.093630286,-3.282120597,-3.01216505,-2.720572918,-3.319326797,-3.337136122,-2.861769777,-2.537506886,-2.719898203,-2.864614536,-2.611310377,-2.339925414,-2.908963466,-3.620233542,-3.161502921,-2.984417203,-2.696695414
H4(4to17)K12ac1me0,-0.680284852,-0.42569858,0.10511066699999999,-0.532234045,-0.632388295,-0.279199026,-0.826619029,-0.384848311,-0.590971636,-0.274397047,-0.345352821,-0.0888878225,-0.886132183,-0.82650832,-0.653326894,-0.392078819,-0.966228397,-0.837384549,-0.675819863,-0.495763685,-0.347932272,-0.449152254,-0.289959813,-0.424242914,-0.545831215,-0.881954922,-0.86076995,-0.47782887949999997,-0.693977775
H4(4to17)K16ac1me0,-0.926208769,-0.817518658,-0.7101093755,-0.859242213,-0.956235232,-1.147016193,-1.291515586,-0.955195541,-0.993291245,-0.68169819,-0.610652764,-0.6440624875000001,-1.346855628,-1.109489281,-0.735865578,-1.076747884,-1.048037277,-1.061311717,-1.050566981,-0.7905104125,-0.59007155,-0.857096714,-0.868188345,-0.860169493,-0.765341868,-1.268931144,-1.254078342,-1.0756290115,-0.774520404
H4(4to17)K5ac1K16ac1me0,-1.327960902,-1.360061944,-0.6631476845,-1.262145169,-1.241210484,-1.273755203,-1.503824712,-0.923332529,-1.328326251,-1.08837826,-1.126426963,-0.7956511669999999,-1.557390438,-1.544468649,-1.622512785,-1.222148152,-1.734000435,-1.5771804,-1.646859014,-0.687158932,-1.294379827,-1.529711385,-1.284257183,-0.951023506,-1.359090688,-1.701138521,-1.680701347,-1.475967875,-1.13985723
H4(4to17)K5ac1K8ac1K12ac1K16ac1me0,-1.421462983,-1.33931155,-0.9850002645,-1.548267982,-1.011414657,-1.549914067,-1.699961578,-0.871355318,-1.851025244,-0.8933778475,-1.201544194,-1.0988610105,-1.415482649,-1.419361108,-1.466836939,-1.322281554,-1.7221984,-1.672628927,-1.818426125,-1.297278209,-1.267171431,-1.519657281,-1.269545531,-1.183429969,-1.264001469,-1.914533053,-1.792214882,-1.149665917,-1.237036598
H4(4to17)K5ac1K8ac1K12ac1me0,-1.14658468,-0.913158917,-0.473130489,-1.21061913,-1.036479963,-1.186243278,-1.085902819,-0.662548793,-1.012736887,-0.766478462,-0.763520046,-0.19096953699999997,-1.071182195,-1.186343998,-1.00581017,-0.751622453,-1.285539161,-1.203163578,-1.194339642,-1.025772104,-0.886916398,-1.449076389,-1.131956307,-1.124367163,-0.773497827,-1.582610223,-0.922410612,-1.0035931735,-0.830033121
H4(4to17)K5ac1K8ac1K16ac1me0,-2.0133334605,-1.83931572,-1.371789359,-1.933193857,-1.826003306,-2.331628023,-2.024645106,-1.274609743,-2.129261774,-1.547783257,-1.765287902,-1.4830281085,-1.708250819,-2.086608905,-1.967590072,-1.52035617,-2.041259422,-2.124522645,-2.223420925,-1.448638575,-1.803738282,-1.89209201,-2.075285317,-1.721075616,-1.527253144,-2.243319644,-2.240649506,-2.04936203,-1.612703592
H4(4to17)K5ac1K8ac1me0,-3.002987905,-2.878563857,-2.281207372,-2.974960544,-2.919440846,-2.837766241,-3.234730811,-2.58663179,-3.036128985,-2.831659729,-2.73481043,-2.5170342695,-3.243085397,-2.889991249,-3.036873577,-2.845062601,-3.502878623,-2.860092889,-3.242395832,-2.604298118,-2.925944889,-3.350005871,-3.094384598,-2.875509532,-2.768679692,-3.144440034,-3.374195082,-3.0417044210000004,-2.892736337
H4(4to17)K5ac1me0,-1.797430594,-2.228565332,-1.1625027275,-2.184448585,-2.242133823,-1.354092803,-2.273591621,-1.511949571,-2.253884044,-1.700844663,-2.225243324,-1.314691655,-2.557036273,-1.897249391,-2.456580171,-2.138868724,-2.399782929,-2.082080889,-2.332363525,-1.54292211,-1.891731467,-2.112336091,-2.204962361,-2.072384393,-2.084561558,-1.907127489,-2.599422777,-1.7994911614999998,-2.149811055
H4(4to17)K8ac1K12ac1K16ac1me0,-1.908299506,-1.248625203,-1.042338847,-1.456848012,-1.040096129,-2.1271013,-1.420350187,-1.00715705,-1.693098599,-1.167458726,-1.230889941,-0.8302851615,-1.202116087,-1.870836617,-1.435886051,-1.189864713,-1.870353622,-2.015767972,-1.650423671,-1.278027832,-1.527540809,-1.422273426,-1.158219264,-1.080668656,-1.18746649,-2.538512081,-1.709411561,-1.659003642,-1.416139682
H4(4to17)K8ac1K12ac1me0,-1.543508791,-0.244305388,-0.1489721565,-0.721386532,-0.467564942,-1.037438627,-0.709680743,-0.409969537,-0.834579763,-0.657409307,-0.256105174,-0.219274117,-0.810349587,-0.92711417,-0.583287907,-0.390414693,-0.968962359,-0.967552561,-0.86127733,-0.661058187,-0.639229263,-0.95653477,-0.368491624,-0.804986046,-0.47852542,-1.437617978,-0.793304487,-0.70258794,-0.829171087
