CMTF,PCA,Components
0.1038711072715316,0.16829818494095583,1.0
0.11431726562088884,0.15441838320946288,2.0
0.3064847672084233,0.22408264881473794,3.0
0.45469797082464636,0.11612607954401655,4.0
0.3747792827160523,0.2468247399543445,5.0
0.3835244093301149,0.33403057528653357,6.0
0.15682852612837928,0.07195104204470737,7.0
-0.8866806498785385,-1.4029463573763414,8.0
-0.7794754399841346,-1.0387160260600772,9.0
-0.9652876962765797,-0.40803412774500414,10.0
0.4899856685794707,0.5875213660097371,1.0
0.507039650336554,0.631678807405283,2.0
0.6233116254643911,0.533337830748145,3.0
0.563785270715571,0.6094509051447489,4.0
0.44176992747112065,0.5400035473820988,5.0
0.45968150248826467,0.4677582303136971,6.0
0.6154439168941862,0.3270730609055219,7.0
0.5812288797773916,0.323657004026325,8.0
0.5430399554594217,0.2924577251627454,9.0
0.7282418553583392,0.5684739128041321,10.0
0.3824000345629768,0.356329785079075,1.0
0.35657186044649936,0.23908461671246062,2.0
0.2997147689293276,0.4139386059332135,3.0
0.4629957923792706,0.43571073902508994,4.0
0.51759717596939,0.24198742251538496,5.0
0.4752789347879731,0.1974882210447937,6.0
0.4000045798216426,0.286667836770115,7.0
0.423670328061291,0.31197759633214206,8.0
0.34800053940383713,0.17592941947433904,9.0
0.0895209413865552,0.23677303342726386,10.0
0.027500583027400327,0.046492460999639995,1.0
0.2176872988046673,0.16572493245307107,2.0
-0.0695191098693908,0.44312831871306735,3.0
0.25510944814291703,0.08245343407308503,4.0
-0.004149826027715076,0.08891995286258525,5.0
-0.011086483104576716,-0.18739435367330604,6.0
0.06756289077454247,-0.19133028584722078,7.0
-0.008661264328261087,-0.29052934001407804,8.0
-0.45852868073833597,0.05834195458077307,9.0
-0.24466725818261414,0.10882359922661389,10.0
-0.09238553656900295,-0.05865656831137245,1.0
-0.14938377868453134,-0.14468929464906477,2.0
-0.18707369908978988,0.3078633861136256,3.0
-0.5553782252623549,0.2360068656569132,4.0
-0.6228602263624237,-0.38370574915675726,5.0
-0.674612806033335,-0.8407974478506959,6.0
-0.9463689900205612,-0.8636018673930932,7.0
-0.8726865582640024,-0.504421815970264,8.0
-0.8033464135574071,-1.216375311733049,9.0
-0.3764873631680139,-1.201968691439625,10.0
-0.1424191646233226,-0.30446197333337865,1.0
-0.22852587786717793,-0.30644324898025044,2.0
-0.4676204936273869,-0.14250835779930116,3.0
-0.1883737403943837,-0.3932749858536513,4.0
-1.2859733018177022,-0.15996174354659454,5.0
-0.668317418586917,-0.05931867066850427,6.0
-0.67610732590959,-0.235034871356399,7.0
-0.6352462458049237,-0.07176672821288976,8.0
-0.7667854662971778,-0.5326480426477322,9.0
-0.4591837879553453,-0.15767552743651936,10.0
0.4595300129602917,0.45489306827250375,1.0
0.17552771121885669,0.15721093984800383,2.0
0.18052267547960665,-0.27020522561655325,3.0
0.07104003523395441,-0.12052924358406036,4.0
0.12254086756808735,-0.05581582465581003,5.0
0.23727367544520606,-0.11572687037029827,6.0
0.14331503374332222,-0.016609250363821992,7.0
0.25623580799431156,0.1099923491875926,8.0
0.22889679507186456,0.22576139196807654,9.0
0.18894159864947346,0.2138282707644249,10.0
0.3726567392985042,0.3612260860038694,1.0
0.6336447855761773,0.652162433826168,2.0
0.6375319641933805,0.6483791391611174,3.0
0.6352574990868408,0.6322499900029999,4.0
0.4497955224311011,0.6585582787649558,5.0
0.46230807597014,0.5852778394207305,6.0
0.4925458997265749,0.5266711906162405,7.0
0.6069475426432644,0.6372007281914335,8.0
0.6154612300452283,0.2628685443469956,9.0
0.7365839637556123,0.5342660053382058,10.0
0.4585399316415586,0.5487066258902984,1.0
0.5918929164295078,0.5411309867282712,2.0
0.5259594539599803,0.660010950828704,3.0
0.5697449753188824,0.49619285598544716,4.0
0.6729053717659972,0.41136771091584856,5.0
0.7467403140161983,0.46231450300922816,6.0
0.76113583964121,0.6691899542805649,7.0
0.8536228598323724,0.6988439144853915,8.0
0.8389702957636043,0.6409494805234148,9.0
0.8654660854992298,0.46594742153829094,10.0
0.3901036197987032,0.4910606273384529,1.0
0.7390546049046314,0.7763474102265443,2.0
0.030778620929525324,0.40163689406327874,3.0
-0.11650334577019339,0.06290902341645765,4.0
-0.09783959168833944,0.17605331151001236,5.0
0.06222477387951797,-0.07933847272012895,6.0
0.052271506181607585,0.5466579625406733,7.0
0.6083816270165858,0.5438272411533726,8.0
0.43529754645497976,0.8305107639074297,9.0
0.5641709754541284,0.653869799920478,10.0
