Components,R2X
1,0.12203815958359032
2,-0.03211997661567301
3,-0.7067911689370792
4,-290.88424202718375
5,-251.8800234491151
6,-228.122728028001
7,-446.6784572255171
8,-719.2956780744155
9,-862.046315778672
10,-940.5275018153255
1,0.2877764424021537
2,-80.8303353343135
3,-328.50885477079635
4,-401.867983045396
5,-632.1475363268389
6,-649.5059016824254
7,-478.71236280041194
8,-1325.6722134255758
9,-1055.4937329669328
10,-1077.7543844142574
1,-221.23469921672844
2,-218.09290426692212
3,-216.0128464206744
4,-377.2181509749678
5,-1367.802118902515
6,-713.4853240304712
7,-493.2214064259251
8,-1136.3835905893786
9,-1660.0353955194093
10,-4662.013783811208
1,0.04943765927146271
2,-17.714466158299828
3,-182.28584324182555
4,-328.4446562772098
5,-321.8604168836675
6,-654.399777452707
7,-1047.4342289679505
8,-427.1135204861014
9,-968.2173754641528
10,-757.8072006465654
1,0.009418714764129144
2,0.004673331626437238
3,0.03275428522944601
4,-0.0018466939026706708
5,0.023845102153859377
6,-0.14348787887324943
7,-155.49034856927926
8,-249.97810567030533
9,-412.4544926588612
10,-325.7129159984016
1,-0.06420870570498183
2,-51.99121079813065
3,-157.88013024478167
4,-276.6879796315548
5,-332.75022323033613
6,-538.6699694553953
7,-511.3367356649559
8,-844.5449838247234
9,-1091.110722194862
10,-1059.4410468366357
1,0.10704351011399638
2,-17.440384885146273
3,-3.55047755351488
4,-135.40441286393641
5,-1170.6285845440689
6,-953.1939708056024
7,-208.35941033951715
8,-2396.839595964674
9,-704.5055697170143
10,-1172.2681016125614
1,-0.07016394736400655
2,-92.66849262398513
3,-293.1745249572344
4,-184.019846328085
5,-527.1826783963292
6,-437.10156669975345
7,-874.5724930304867
8,-282.0853207020425
9,-257.99577043859057
10,-1283.8952101832765
1,-0.27144898839039966
2,-0.19172644841939257
3,-239.27404348651015
4,-450.6260223569913
5,-397.49762271047854
6,-461.1533636424309
7,-500.33292724862144
8,-798.6634013588356
9,-883.8888562904268
10,-943.5746123766534
1,0.08392067356560517
2,-62.42294309743863
3,-80.66843069798857
4,-76.55966529995169
5,-210.09152924612158
6,-439.1434115780585
7,-172.14711744132393
8,-597.801565555902
9,-179.55055501221477
10,-420.6638345391194
