Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
3469	0.00279291783021264	0.0281020345469286	0.0130232428903942	0.159252636401158	0.0132133696932323	0.00205039919690544	0.00150051169694501	0	0.133924414250826	0	0.0355545434108692	0.0152388665080606	0.125282764514145	0.0200821300694617	0	0	0.00136075286114254	0	0.0243387468818879	0	0	0.42428266924783	0	0.859725647695059	0.557221782908945
3567	0.00450120561882355	0.00277596172322295	0.0147101186975687	0.119585129357851	0.00492797454458626	0	0.0134979948461329	0.00271462500134735	0.0780615357758683	0	0.0917062127474385	0	0.0705513554240161	0.05403663977443	0	0	0	0	0.0151515945927625	0	0	0.527779651895953	0	0.880709362598524	0.502118397081309
4059	0.0539569266106381	0.0114440965663238	0.0631245273219722	0.0741271480148228	0.0226409600266965	0	0	0	0.180410954542083	0	0.0430889011053669	0.0102826064134008	0.101624523440126	0.0904773575428281	0	0	0	0	0.0280514079127476	0	0.0125107447756644	0.30825984572733	0	0.745328937572998	0.699415431664626
4095	0.0293954665424788	0.00316201498028277	0.0106521984904873	0.124588518019953	0	0.071111945176249	0	0	0.121314913816505	0	0.0540603373636957	0.00897859627427519	0.162651322782585	0.0127560012498717	0	0	0	0	0.0308766340291131	0	0	0.370452051274503	0	0.899060973327953	0.529146927676312
4137	0.0571224252262042	0	0.0149693664508539	0.0124561103402447	0	0.0517890665201843	0.0118802077419991	0	0.0594165848714565	0	0.05152502782607	0	0.299615673860788	0.0270799573510112	0	0	0	0	0.0181718631283622	0	0	0.395973716682826	0	0.876197682841567	0.525106357394583
4158	0.0109353935704894	0.00967464068860748	0.00375864462288052	0.0211296298149195	0.000301042191877246	0.0548462619076115	0.0116341463474154	0	0.100709643206948	0	0.0587418324841611	0	0.198096804095148	0.0486742041491253	0	0	0	0	0.0290641705261735	0	0	0.452433586394643	0	0.897923360856125	0.489846526551587
4228	0.0121356216905806	0.0137474569529634	0.0256291056515083	0.1059652697385	0	0.013094388775829	0.0062055215803018	0	0.100781979644097	0	0.0476753711017615	0.0116143698350658	0.222882278718321	0.0301438093233798	0	0	0	0	0.0190015578538213	0	0	0.39112326913387	0	0.803796267019276	0.618979764278677
4233	0.0744778543504006	0	0.0168159909141027	0.134600925564396	0.0264938741474461	0	0.00203713236706333	0	0.171532781772511	0	0.0313692778679092	0.00848777401157499	0.117914716957257	0.0614179214699259	0	0	0	0	0.0209067812471464	0	0	0.333944969330267	0	0.86181933170091	0.588148648302457
4255	0	0.0204781575144238	0.00588992551690083	0.0579773072301186	0	0.00758033448086894	0.00276453171894355	0.00274131737881905	0.0805545833194444	0	0.0341512954704102	0.000865649628096896	0.0520367104723342	0.0575588985529438	0.00101531928464556	0	0	0	0	0.0328722093372356	0	0.643513760094815	0	0.896741404093182	0.451801688764236
4256	0.000926556382701209	0.0150665055860389	0.017245827554314	0.111081245257879	0	0.0221902026491203	0.0126326089621508	0	0.0877292403917447	0	0.0449494936631705	0	0.111582873761019	0.0422898202949797	0	0	0	0	0.00176570934855365	0	0	0.532539916148328	0	0.911904933970673	0.44927051002315
4322	0.0455588144906716	0	0.0347123837273305	0.0406830251361474	0	0.0054612314855033	0.0132244999199073	0	0.0647448819634407	0	0.0594776178042313	0	0.212483881936452	0.0380106837136176	0	0	0	0	0.0255191019839628	0	0	0.460123877838735	0	0.804197927599402	0.605330703535592
4329	0.0271163538973298	0	0.0237752449160601	0.236434788066132	0	0	0.0114940329419997	0.00729049245109662	0.119759161510697	0	0.141155730260079	0	0.157179892132722	0.0348269766517121	0	0	0	0	0.0212716790492776	0	0.00515355730353706	0.214542090819356	0	0.810050679554008	0.652001353361624
4378	0.116871257953208	0	0.167216014365068	0.111553270308149	0	0	0	0	0.127898937232987	0	0.020104556165235	0.00860788675893797	0.175154693390749	0.0565158423708621	0	0	0	0	0.0173133056609755	0	0	0.198764235793829	0	0.452925772065789	0.892140068464299
4395	0.0142312330320123	0.0338971520345696	0.0202113382972544	0.268730216718381	0	0	0.0142723945704162	0.00149962567140074	0.094662244364725	0	0.0736582537663988	0.00178789632633281	0.142895357290435	0.0242454881403684	0	0.00381795397469041	0	0	0.0134070169579152	0	0	0.292683828855101	0	0.844803637601679	0.608803075139286
4413	0.0193958296994094	0.0073602885919091	0.0137574180851019	0.1004141522017	0.0195575508260772	0.0735989838756562	0	0	0.209690844682379	0	0.0405751649295749	0	0.194385756492036	0	0	0.0058398101700618	0.00526934037463014	0.00144009928509699	0.0188888042830643	0	0	0.289825956503304	0	0.865952357024499	0.585541238263471
4468	0	0.0678441264417567	0.069637848840677	0.0719697947839389	0.0023514325108047	0	0	0	0.122010190549521	0	0.04246669173838	0.00471511292248249	0.160742503312234	0.0486890617753701	0.00225673889320193	0	0	0	0.0154636085505008	0	0	0.391852889681133	0	0.654520738965832	0.757291035189662
4469	0.0124102627957417	0.0436921049428464	0.027412256323972	0.0752087511879447	0	0.0178988698899807	0	0	0.102076982505716	0.00614548355183365	0.0298209074575691	0.00894416094762265	0.0598698343203799	0.0568496009019553	0	0.0202313153367645	0.00278788359449442	0	0.029482304636279	0	0	0.5071692816069	0	0.881278036647354	0.511302863457793
4471	0.00510447972657435	0.0122592530644228	0.0150456968172709	0.135955116638028	0	0	0.0409770676109307	0	0.0535668339367004	0	0.0883908805914111	0	0.167733893292379	0.0339190364789014	0	0	0	0	0.00388361481934345	0	0	0.443164127024039	0	0.840574251551641	0.569487237086064
4495	0.00578889592746497	0.0208945788834979	0.0277612106853752	0.171367467084436	0	0	0.00222853761543493	0	0.143116537132435	0	0.0738089853608439	0	0.187737230387826	0.0589648321635965	0	0	0	0	0.0114915848091609	0	0.0108140615768431	0.286026078373086	0	0.721916716081072	0.713181065779567
4497	0.0201502968055101	0	0.0130781268776707	0.0585124563404173	0	0.055370433345637	0.0142703162743039	0	0.103043776847438	0	0.0914755866520425	0	0.166434181865875	0.027916066927111	0	0	0	0	0.0109503666543704	0	0	0.438798391409625	0	0.822852763890954	0.591461952858177
4529	0.0237554434913414	0.00767128872922895	0	0.0997424864634964	0.000621132623955294	0	0.00535759026449162	0.00209871098881564	0.0980679483966634	0	0.0519617400543044	0	0.13006908841972	0	0	0	0.00145040875167567	0	0.0164687158698815	0	0	0.562735445946426	0	0.903648198129029	0.452500846507061
4535	0.0789419472589075	0	0.0175963892363249	0.11004438439843	0	0	0	0	0.167614938221666	0	0.0830940524150734	0	0.114264252426748	0	0	0.00333394452477388	0.00857857769693371	0	0.0315474851310817	0	0.00886708201507447	0.376116946674986	0	0.892691177339098	0.542678376557493
4547	0.022156097882333	0	0.0200733977141663	0.0433926422525128	0	0	0.00363310141750216	0	0.0457147921364022	0	0.0102034206506506	0.0126992024980342	0.103146596537136	0.0497301893045822	0	0	0	0	0.0430705168063731	0	0	0.646180042800308	0	0.858834702183948	0.515873872174334
