Mixture	CD14 Mono	CD4 TCM_1	CD8 Naive	NK_2	CD8 TEM_1	CD16 Mono	B intermediate lambda	CD4 Naive	CD4 CTL	B naive kappa	CD4 TCM_3	MAIT	CD4 TCM_2	CD8 TEM_2	gdT_3	NK_1	CD8 TCM_1	dnT_2	B intermediate kappa	B memory kappa	Doublet	pDC	CD8 TEM_5	gdT_1	B naive lambda	NK_4	CD8 Proliferating	CD8 TCM_2	Treg Naive	Plasma	CD4 TEM_1	Treg Memory	CD4 TEM_3	CD8 TCM_3	cDC2_1	NK Proliferating	CD8 TEM_4	ASDC_pDC	CD4 TEM_2	B memory lambda	dnT_1	HSPC	cDC2_2	Platelet	NK_CD56bright	CD4 TEM_4	CD8 TEM_6	CD8 Naive_2	gdT_2	NK_3	CD8 TEM_3	CD4 Proliferating	Eryth	gdT_4	Plasmablast	cDC1	ASDC_mDC	ILC	P-value	Correlation	RMSE
3469	0	0.0432084192888321	0.0330535737186926	0.0379061055160483	0.0134646865995601	0	0.0305285700763634	0.102033588160068	0.0076401342903735	0.00948191391931049	0.0186320549158071	0	0.0399045710577031	0.0284002772883402	0.024271955522932	0	0	0	0.0535522451196679	0.0162874988423192	0	0.00345725299517809	0	0	0	0.0223928556175958	0.00325495486614608	0	0.0808064440696729	0	0	0	0	0.00206263436455356	0.0312114101361607	0.0270116475969148	0.0527832792197855	0.00275224219354067	0.00065395009534215	0	0.026265031309352	0	0.10932143415983	0	0.0144897538865512	0.0950778690530185	0	0.0115565239157598	0.00886380483117103	0.0138764170856223	0	0.0132561216668747	0.0142605496270099	0	0	0.00672729806490377	0.00155293092899851	0	0	0.913223420399311	0.658966835105382
3567	0.0247671390604924	0.0148818978236267	0	0.037243778468329	0.0215610095345399	0	0	0	0	0.0231385153805246	0.0443854344578564	0.0732644654051444	0.0657155302816268	0.0321468635456016	0	0	0	0.041382569504205	0.00756487825152934	0.00586326837857945	0.000207777322504629	0.00815624317257762	0	0.036891456656669	0	0.024561264993025	0.0368165077273652	0.0312994683784948	0	0.00737151746042758	0.0296958548990433	0.0101081197067179	0.0103376742074142	0	0.0360524433823984	0.020127635209481	0.0195153359734385	0	0.0198811386522362	0	0	0.093441708387531	0.0167733027250234	0.0647378688204728	0	0	0.00576148504952324	0.0402902610332338	0	0.027222336950595	0.0146922215433997	0.0429050403782342	0.00455251699286419	0.00660642707949422	0	7.90432057796261e-05	0	0	0	0.853528822594074	0.72882264774459
4059	0.00342047454807024	0.0231937245666604	0.0529351623654172	0.0110639066974588	0.0113021931100605	0.0389386276187301	0	0.0557976321858191	0.0324800347951555	0.0245434241088706	0	0	0.0381791556443179	0.00301300435410796	0.0331570316894324	0.0873984127529245	0.0140584015615401	0.0187181391081577	0.0254530369831659	0	0.0214521532307508	0	0	0.00950055583345506	0.0502041445232058	0.0247280075706859	0.0295922703575559	0	0.0607468356013456	0.0517620847558247	0	0.0104189974138986	0	0	0	0.00585014321619285	0.0105937160689968	0.0351514415833806	0.0475415326142318	0	0.0489563994790586	0	0.0409898079323496	0	0	0	0	0.000919335267647727	0	0.0529395629958138	0	0.0143823093191814	0.00208674286920272	0	0	0	0.00853159727733277	0	0	0.923206599354918	0.613184519422667
4095	0	0.0251764342711091	0	0.0284332009557914	0.067800804651763	0	0.0451851600886823	0.0183506760502047	0.0116121979414594	0.00264090218353767	0	0.00373670869653896	0.0109065209242043	0.0590543773075943	0.0169265513868517	0	0.00696652891346924	0	0.0357531452784528	0.00347569019954025	0	0.0120481979203533	0.0183909009463698	0	0	0.0257028399526003	0.0256368069810462	0	0.0454514823671846	0.0031806817461305	0.00363169853997975	0.0279045863225875	0.00364345894057933	0	0.0702144280036099	0.0187440398788901	0.0516054074483084	0.00675707229789811	0.0400580705367228	0	0	0.0333645217586457	0.137209632311307	0	0	0.0781291580797221	0.00905868057043492	0	0	0.0265867508866421	0	0	0	0.0204356438202596	0	0	0	0.00622704184152928	0	0.867790269219379	0.743663180788905
4137	0.0589791837598399	0.0222518212109022	0	0.0450849958620138	0.0313541737416339	0.0386848292854845	0.0190820701185656	0.0183620764341506	0	0.0553024118231172	0	0.0559421556860548	0.00872455516471081	0.0340113624953547	0	0	0.0035114846585202	0	0	0.0268062008349757	0.0317917393594348	0.00446044017174537	0.000667764734286712	0	0.0245159142992007	0.0286431819821836	0	0	0.0336270248506206	0.0269097003682186	0.00319212000127989	0.00790694163768801	0.000955828755454745	0	0.0776135558497521	0.0184365082688181	0.0395441838160832	0.0102945563151937	0.0212909795249309	0.0294782814066721	0.00818246400176637	0	0.044856887978428	0.0197236842494763	0.0346800621190549	0.0361293755810916	0	0	0.00912236223063418	0.00470483765003005	0	0	0	0	0	0.00173741957022119	0.0565448168369902	0.00689204736542013	0	0.672471851884909	0.794044363009392
4158	0.0320543240071709	0.0267470035539002	0.0227792653741702	0	0.0122054618616702	0.00292856812043477	0	0.0605263004603773	0.0447739413590201	0.02111628811927	0	0	0.00230332487432026	0	0.043310902991578	0.0193897961704605	0.00709980694927787	0	0.000643597631010764	0	0.00891499618637968	0.083014317147547	0	0.00106690178542005	0.0190976587972515	0.0353060821250663	0.00842935468306104	0	0.0732776785505836	0.00371757596739655	0	0.0125918785707814	0	0	0.0256469748625587	0	0.0110105321927245	0.0539687692047097	0.015601499627022	0	0.0409091570182209	0.0630439416606906	0.0355971616518677	0	0.0450590536527022	0.0252058638769816	0	0	0.00115331634984424	0.0160676427075459	0	0.0484739524979824	0	0	0	0.00938067408751361	0.0675864353234877	0	0	0.757141059518452	0.795901663174048
4228	0	0.0233620657438629	0	0	0.0725427217272475	0.0113214074749537	0	0.023293758369086	0.0195029502396993	0.0374436330728944	0	0.0425012911489809	0.0411849098583103	0.030690744587822	0.0177854894588381	0.086360296621663	0.0162931594699398	0	0.025206738338394	0.0153046560853608	0	0	0	0	0.0107355152912281	0.042917296508395	0.0253338986511023	0	0.013815275423002	0.0207964399176978	0.0127286701809883	0.00768573991881333	0	0	0.0668569590918884	0	0.0139902234132632	0	0.0672279786983546	0	0.000777643810150921	0.0510330833771531	0.0324142728398371	0	0	0.0324527310078555	0	0	0	0.0734890617228268	0	0.0159630215311452	0.0114860433461072	0	0	0	0.037502323073138	0	0	0.900506837785747	0.684273309644597
4233	0.00685789718667303	0.0334743504913833	0.017581351988477	0.0130939139752858	0.0587791130158457	0	0.000623025015759176	0	0	0.0500712907955118	0.000644119586683232	0.0814136365232481	0.0619859065819195	0.0433828169758355	0.0288875211738216	0.0517408089127063	0	0	0.0209026953649082	0.00689503810658927	0	0.00453321666142427	0	0.0444268208405944	0.033758998963594	0.0334333035019483	0.0456650083518966	0	0.0173001031056053	0.0244999610941245	0.0142278153724137	0.0212861807659895	0	0	0.0254067316191175	0	0.0232046897769265	0.00391554026333434	0.0515740023815034	0	0	0.00115530411788932	0.043820949350523	0	0	0	0	0.0147418638553195	0	0.0662966507566246	0	0.0399367528935052	0.0139713106864735	0	0	0.000511309946544965	0	0	0	0.659480099249685	0.787614827089605
4255	0.0531215719961167	0.0142798982125048	0	0.000247605972565038	0.0644092228321261	0	0	0.0104962649038218	0	0.0300644592489411	0	0.0537232799219022	0.00838257525781489	0.0281438100119953	0.0212466275332099	0.0300353437561999	0.0272295192132266	0	0.00417559071295661	0.00846156925445457	0.00644328623847051	0.02607316297851	0	0	0	0.05809639982602	0.024744035152031	0	0.0513340088630174	0	0	0.0103702725545735	0	0	0	0	0.0202717505782628	0.0509607878145113	0.0391050440286266	0	0.0236297194512044	0.20542850770197	0.00126799939129475	0.00458597705625973	0.0348380820986785	0.00388946377184141	0	0	0	0.0426177933798207	0	0.0015589070156724	0	0	0	0.0118609848075132	0.0289064784638863	0	0	0.790401029685275	0.794946495765606
4256	0.046070935251824	0.0316916579054766	0.0114204124674267	0.0276735280381242	0.0674039561837096	0	0.0189642821126607	0.060340567979062	0	0.0163107672156956	0	0.0359782300630057	0.00211162512207717	0.0347203541355614	0.0439195115922735	0	0.0238439344937183	0	0.0318449794600037	0	0	0	0	0	0	0.0248915434428435	0	0	0.0576046127853562	0.00111668019958387	0	0.00986291495642335	0	0	0.0408796790167495	0.0177681672230615	0.0290414420847537	0.0144102205885436	0.041377605616977	0	0.00944186595671849	0.114099264526744	0.0260964859307712	0	0	0.0722370269740686	0.0036081418266837	0	0	0.0337418605140634	0	0	0.0334281239963611	0	0	0	0.018099622339678	0	0	0.922952088144463	0.684433129820289
4322	0.106525804288628	0.0132849595639108	0	0.0263547927420765	0.021966422506698	0	0.0201810553534833	0	0	0.0513290845553868	0	0.0155596512616532	0.0155948687097452	0.027820902967433	0	0	0.00789929564058238	0	0.0133888282087705	0.014035794689829	0	0	0.00297146351355212	0.0211603314650003	0	0.00889411886727179	0.0069093018541593	0.0247204527365647	0	0.00538814336158976	0.000110430183357115	0.0242263557595056	0.000597900094893056	0	0.0842808390121885	0.0117143545881443	0.0143448786223051	0.000143930488032024	0.0149619614831228	0.00257928756575766	0	0.142527342743867	0.156872347944917	0.00139945252343735	0.00304290882945711	0	0.0131120407469706	0.00355230725956145	0.00376529653862744	0	0.000991213378400005	0.00319634811017756	0.0321230607792846	0.0325291075140543	0	0.00609497380091315	0	0.043848389746692	0	0.94787350949308	0.734710690737365
4329	0	0.0281430484555396	0	0.0325309864607811	0.0724025232444912	0.0173036554691884	0	0	0	0.0151507875680041	0	0.03747196864735	0.0867952618998184	0.0461112450042611	0.00290853609001613	0.0333477642507751	0.0134147525759959	0	0.0142268465361341	0	0	0.00767717477213842	0	0.026984727444416	0.000677930345496412	0.0474806374158936	0.0599481353803841	0	0	0.00106511865523775	0.0151395356845126	0.0311558775908643	0	0	0.0253594663383616	0.0295058025588309	0.0246980791883984	0.00698593169307762	0.043853435306717	0	0	0	0	0	0	0	0	0.0373061264003852	0	0.0796728761867002	0	0.0415215498143985	0.0187409792455372	0	0	0	0.0553525360641241	0.047066703712171	0	0.735684690207733	0.79140679493797
4378	0	0.0132145971465513	0	0.000597209803395945	0.0690173771056449	0.0419167641464442	0	0	0	0.0959855872753023	0	0.0763479333157421	0.0403761680024513	0.024375033470279	0.0121844138703175	0.0022868286566733	0.0265317911766761	0.0431367140929266	0.0406557194857793	0.0381105119923392	0.00746042651434629	0	0	0.0270374773342785	0.0985283815186168	0.0288964981565366	0	0	0.00663764056093999	0.0287417051132858	0.00798661517304011	0.0216854407863373	0	0	0.0467330284030609	0	0.00598007288185051	0	0.0541385261797109	0	0	0.0403462484582271	0.0362766603753544	0	0	0	0.00316758661592181	0.0169184778850224	0	0.037331512105019	0	0.00351260630314964	0.00388444609477891	0	0	0	0	0	0	0.883316052158883	0.564737458451763
4395	0.00728313851727814	0.0160090181052438	0	0.0775364913625315	0.0633119668210649	0.00190999860387179	0.0381283651605951	0.0278208327788864	0	0.00440117946110473	0	0.0351966600441469	0.00206048067792049	0.0684881309221199	0	0	0.0242406897368069	0	0.0520784079179736	0.0220394475613348	0	0	0.0261212980326873	0.0172737884721044	0.00163659852661527	0.0249487838433098	0.0192806717801681	0	0.0043110627903754	0	0	0	0	0.0277852102513832	0.0268335271215162	0.0505049558848702	0.0733650706149398	0.037650705854444	0.00147400704563016	0.0101747559185378	0	0	0.0379722980954421	0	0	0.0384164067804684	0.0289188700132466	0.0253160610557138	0.00213836156299309	0	0.00835857258668683	0	0.0256099027798193	0.0259519813450217	0	0	0.0276476660102433	0.0178046359629043	0	0.869346574489685	0.713766023595495
4413	0.00818044947259913	0.0333894849652896	0.0874328912844981	0	0	0.009098322020202	0.014746698411999	0.116366261620297	0.0482384499344343	0	0.00374925648404637	0	0.0124969519191346	0	0.0457876919201887	0.0950194246239015	0.0162549832368897	0	0.0134222268032906	0.00732405323292347	0.00272114686481994	0.0461379047567652	0	0.00320569303102244	0.00652363864723077	0.000782161244248232	0.00777162256413487	0	0.0569737200540199	0.000635470204367702	0.0130049808880419	0	0.0119648894426425	0.0269854107006198	0.0227186380833425	0.0107981013672562	0	0.0128524192046923	0.00514196618877669	0.0139199116874221	0.0377932181743357	0	0.0563692425282337	0	0.0165512135590568	0.0586563057979362	0	0.000780063363445027	0.00107609914291319	0.0419419457680397	0	0.0203063900714952	0.0102067500246436	0	0	0.00219329477251402	0.000480655938290175	0	0	0.901982984285152	0.663527498321852
4468	0	0.0342369965994495	0.0392501836958185	0.024440965140023	0.0037292901565026	0.0424505660981519	0	0.0278987108898839	0.0223190987684938	0.0321654230319045	0.0113378614037994	0.0507723424636592	0.0404570033966623	0.00227164206152317	0.00865432405940801	0.0462230883773277	0	0	0.0186416519038152	0.0231974126906586	0.00262961713558691	0.0104849337031118	0	0.0322284896731271	0.0346440917313896	0.0351742841857253	0.0343316491726666	0.0109620450602497	0	0.00335987284848969	0.021188161918798	0	0	0	0.0709869644898685	0.00859923414023584	0	0	0.035115549589443	0	0.0329428981893727	0	0.0258761949324399	0	0	0	0.00297607899322496	0.0335806593475384	0	0.047004244727215	0	0.0155200754295191	0.0192845529475241	0	0	0.00116235490492246	0.0636019250441185	0.0302995610983514	0	0.921717018073964	0.695687366488111
4469	0.00654926940940937	0.0326363354005069	0	0.057290441774606	0	0	0	0.00225482298853469	0	0.0192458397568981	0	0.0704976005281657	0.0403330307639213	0.0224722167778684	0.00964375736464189	0	0	0	0.0580967131711717	0.0115763356148106	0	0	0	0.0515203259433187	0.00339186602772974	0.0123121171397023	0.0207026504308273	0.0272026923884247	0.0122628486747927	0	0.00814819120365997	0.0418797005540881	0	0	0.00813249355957397	0.0409113991581297	0.0255280769850953	0.0356090686747969	0.0106278863061154	0	0	0.0671386503321798	0.0782502309873995	0	0	0	0.00752170795548854	0.0347768135083995	0.0240514961464238	0.0118064682717145	0	0.0575625711634244	0.0266347520296222	0.02387566486938	0	0.0140825744746838	0	0.0254733896644945	0	0.799990927600509	0.754565906038341
4471	0.00648722114352541	0.0201081614195966	0	0.0378991576540207	0.0587433697914293	0.0526451562881555	0	0.0266329005565851	0	0.039182626015101	0	0.0496980648431303	0.0243217093757702	0.0571996205707373	0.0158297058796427	0	0.0220910135302514	0	0.0330597558851754	0.0337029817551874	0.024247153264156	0.00611283281485304	0	0.0198379494666122	0.0106385162669452	0.0238214308293594	0.048325584262983	0	0.0165885013359377	0	0	0	0	0	0	0.0330719574675613	0.062018834848537	0.04739750025492	0.0218972258626474	0	0	0.0582010566987528	0	0	0	0.023759889226972	0	0.0279294567170593	0.0231157939511978	0.0301161174899967	0	0	0	0	0	0.0204675666439145	0.0248511878892864	0	0	0.723830512718739	0.782120261508232
