input_id	dealiased_id	standard_id	short_id
PMID:23663462	PMID:23663462	pubmed:23663462	GSGINIzE
PMID:22760291	PMID:22760291	pubmed:22760291	17v7Zo1cB
DOI:10.1086/423145	DOI:10.1086/423145	doi:10.1086/423145	21bqFlFC
DOI:10.1073/pnas.1909849116	DOI:10.1073/pnas.1909849116	doi:10.1073/pnas.1909849116	1ETlilCxq
doi:10.1137/07070111X	doi:10.1137/07070111X	doi:10.1137/07070111x	DP2rkv82
PMID:18003902	PMID:18003902	pubmed:18003902	oqRObRv8
PMID:31251750	PMID:31251750	pubmed:31251750	5XL7PCnt
DOI:10.1101/2021.01.03.425138	DOI:10.1101/2021.01.03.425138	doi:10.1101/2021.01.03.425138	fvokk0Cl
arXiv:1610.09555	arXiv:1610.09555	arxiv:1610.09555	97Kqqik2
doi:10.1137/17M1112303	doi:10.1137/17M1112303	doi:10.1137/17m1112303	VWiPMDnj
PMID:31510660	PMID:31510660	pubmed:31510660	HnrrHXPm
PMID:32124323	PMID:32124323	pubmed:32124323	DvYNkVIG
