Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
1,0,0.0354687645435107,0.0133914281997076,0.0721503654836193,0.0298588689186794,0.00397073520511333,0,0.0363066000924108,0.00267044135528926,0.0361552229902834,0,0.0188588890944744,0.00404729079274294,0.0807011267602757,9.90999551197664e-05,0.0157728815529502,0,0.0591524435295084,0,0.426917743139405,0.11579182506723,0.04868627331968,0,0.812474092692759,0.616432905457615
2,0.016993969495875,0.0600479714894023,0.0263393726769163,0.074717149781044,0.0161444772422448,0,0.00752741914769264,0.0562882348438947,0,0.0409394829084559,0.0830635963083652,0,0.0703566550269418,0.120410374926792,0.0287799039918139,0.0370887252979591,0.000222460139092552,0.0182560292147358,0.13092896492834,0.101664546851969,0.0877377637164883,0.0224929020119768,0,0.917229307934617,0.640161158103016
3,0.0401258268390546,0.0622043266547515,0.0161927459350536,0.0226558041666578,0.0705800108988886,0.0102088172539933,0.00606677088034301,0.0424890728998891,0.0108134120063458,0.0322808940914073,0.0618854790141794,0,0.0189057963153042,0.0884681870721918,0.0103207510951271,0.0306634372543062,0.0246636044461836,0.0325569511467635,0,0.21105414198705,0.0928189509850857,0.115045019057424,0,0.918626256212147,0.612576232858152
4,0.00172760222596867,0.0766129089768644,0.0525042645265745,0.0438475689192838,0.0579065995778327,0,0.0563137381068087,0.0419230644899197,0,0.0208025249469955,0.126112382848172,0,0.0554537772298778,0.105596219378621,0.021015934455021,0.0573208623785758,0.0132310036001447,0.0193427883207519,0.125561695143744,0,0.0243238005595415,0.100403264315302,0,0.813840574473637,0.721048803975675
5,0.0639315846404881,0.0443701784750985,0.0502642920331789,0.0446501192268147,0,0.0250746432364882,0.0349244647978631,0.0493218824571493,0,0.0381966070051409,0.0735427017353392,0,0.0286216432040713,0.0866013969447989,0.0189569079393085,0.0430437468785608,0.0132562630298244,0.036147052781895,0.132976534116939,0.0967718648387537,0.0681201185667617,0.0512279980915254,0,0.899369250876623,0.659051410261501
6,0.125773121593997,0,0.0425971792814459,0.00712877793217928,0,0.142012576843348,0.036247109030144,0.0403763051417948,0,0.00354976645817016,0.107005710507111,0,0.138438298493103,0.0292777522982548,0.0322938966637894,0.0789724361510467,0.068842536435876,0.00519779331570023,0.0759819653759323,0.00938739300300681,0.0199208881413752,0.0369964933337242,0,0.841970556656056,0.714726512710969
7,0.0842297656828688,0.0110293349970369,0.0270690253941535,0.0658547320624513,0,0.0482528868263045,0.0353309273442689,0.0701721205271025,0,0.0243520011710866,0.0932458704157803,0,0.0271122448269945,0.0606577670293392,0.022936689972474,0.0362258073051058,0.030592294054462,0.0526169607825946,0.148492798356365,0.0812703586866399,0.0586649022162245,0.0218935123487471,0,0.931687403899546,0.642344990796225
8,0.0523684285054309,0.0218539323471342,0.0680178675006821,0.0574410661746629,0.0181678977040147,0.0348245053748773,0.0162341553610641,0.0746096486037896,0,0.0330793664258013,0.0656301851925146,0.00464121801048426,0.0519074408591217,0.0948900900324585,0.0280282872576781,0.030395981668707,0.0234807177359684,0.0507331352601018,0,0.122847299277187,0.0762510402683436,0.074597736439978,0,0.931051346833936,0.640836012529098
