,P1_I4_M1,P1_I4_M2,P1_I4_M3,P1_I4_M4,P2_I8_M1,P2_I8_M2,P2_I8_M3,P2_I8_M4,P2_I8_M5,P2_I8_M6,P2_I8_M7,P2_I8_M8,P3_I5_M1,P3_I5_M2,P3_I5_M3,P3_I5_M4,P3_I5_M5,P3_I5_M6,P3_I5_M7,P4_I4_M1,P4_I4_M2,P4_I4_M3,P4_I4_M4,P5_I8_M1,P5_I8_M2,P5_I8_M3,P6_I3_M1,P6_I3_M2,P7_I2_M1,P8_I2_M1,P9_I3_M1
3469,18.27828222685323,1753.0394736842106,3759.810650887574,5462.7962962962965,92.8465909090909,36735.188679245286,4805.675324675325,3259.2419354838707,1611.5128205128206,975.1379310344828,220.45454545454547,1189.2380952380952,1954.6153846153845,1297.1764705882354,92.73913043478261,8811.702702702703,1664.1666666666667,1488.2592592592594,3757.08,90.38181818181818,73.41025641025641,492.80645161290323,1691.2068965517242,1911.7179487179487,2016.7692307692307,1277.44,2769.391304347826,1538.090909090909,2953.8387096774195,8097.9,82.9047619047619
3567,29.47573682643644,1743.6019736842106,5073.136094674556,5080.518518518518,105.5909090909091,20280.77358490566,7305.064935064935,3657.7419354838707,737.3333333333334,550.7586206896551,199.72727272727272,1866.4285714285713,2266.730769230769,1090.6666666666667,111.04347826086956,13824.324324324325,1800.0333333333333,2190.814814814815,6767.8,106.76363636363637,147.84615384615384,642.6451612903226,1665.1724137931035,1930.0,1944.2692307692307,1230.08,3388.1304347826085,1408.409090909091,4323.903225806452,9528.4,114.57142857142857
4059,8.701175945221792,1020.8190789473684,2315.923076923077,2357.25,39.55113636363637,8462.66037735849,2752.220779220779,1822.6774193548388,532.0512820512821,302.2413793103448,485.8636363636364,2639.714285714286,1176.326923076923,676.843137254902,34.65217391304348,5944.216216216216,808.9333333333333,696.074074074074,1852.44,45.89090909090909,43.76923076923077,56.61290322580645,750.4137931034483,1121.2820512820513,930.9230769230769,631.08,1618.4347826086957,556.5,1916.3548387096773,5223.3,39.857142857142854
4095,14.494864543018755,1806.8980263157894,3702.508875739645,3651.2685185185187,83.67613636363636,1423.8301886792453,4894.792207792208,3033.564516129032,579.4871794871794,334.58620689655174,491.77272727272725,725.5238095238095,1959.9807692307693,1028.2745098039215,73.21739130434783,8878.027027027027,1737.5,1415.0740740740741,3528.16,91.36363636363636,82.92307692307692,55.064516129032256,1535.7241379310344,1733.5641025641025,1529.5,1336.56,3406.521739130435,1009.0454545454545,3002.7419354838707,7264.25,89.76190476190476
4137,18.40354272104793,2228.6973684210525,6107.2307692307695,3133.3703703703704,108.39772727272727,7082.811320754717,9201.545454545454,4240.467741935484,1017.8717948717949,497.6896551724138,978.0909090909091,1605.4285714285713,3115.6346153846152,918.5294117647059,131.52173913043478,16924.18918918919,2802.266666666667,2882.4074074074074,7798.0,108.41818181818182,170.94871794871796,107.90322580645162,2422.689655172414,2102.7179487179487,2492.576923076923,1922.28,7483.565217391304,1129.590909090909,3710.3870967741937,11782.05,122.42857142857143
4158,8.156445370646026,1046.8486842105262,3372.792899408284,1456.1296296296296,37.52840909090909,17207.924528301886,4299.025974025974,2130.1774193548385,464.2564102564103,287.7241379310345,284.90909090909093,155.42857142857142,1605.3846153846155,564.6862745098039,47.06521739130435,8802.81081081081,1030.8666666666666,1389.4814814814815,3229.6,37.96363636363636,60.84615384615385,113.0,814.448275862069,921.4615384615385,2056.269230769231,585.88,2430.7391304347825,391.0,1956.258064516129,5031.7,39.57142857142857
4228,16.20065495683239,2207.5822368421054,5397.260355029586,4024.0,81.18181818181819,2488.7735849056603,7133.1558441558445,3776.951612903226,735.3846153846154,799.8275862068965,310.09090909090907,3431.6190476190477,2563.096153846154,1222.7254901960785,139.32608695652175,14749.486486486487,1730.2333333333333,1803.4074074074074,4708.92,76.38181818181818,127.0,110.54838709677419,1600.551724137931,2375.5641025641025,1985.4615384615386,1202.36,4566.478260869565,976.1363636363636,4207.8387096774195,11383.1,77.0952380952381
4233,9.888061923191426,1404.8059210526317,2819.05325443787,3308.6388888888887,52.73863636363637,1002.1603773584906,2975.6623376623374,2255.7741935483873,413.1025641025641,462.6896551724138,573.0454545454545,697.0,1372.8076923076924,895.8627450980392,41.73913043478261,6551.8378378378375,914.3666666666667,822.1111111111111,2034.76,58.32727272727273,46.07692307692308,39.935483870967744,978.0344827586207,1319.871794871795,1120.1153846153845,684.56,1836.7391304347825,660.1818181818181,2251.7096774193546,5738.0,58.76190476190476
4255,12.7132331050908,1271.9769736842106,5754.745562130178,1474.5648148148148,53.79545454545455,7382.33962264151,8612.285714285714,2591.467741935484,660.025641025641,3912.896551724138,633.0454545454545,964.4285714285714,2125.653846153846,568.5098039215686,100.26086956521739,19730.027027027027,1857.5666666666666,1944.2222222222222,7180.28,43.78181818181818,182.28205128205127,219.03225806451613,1283.344827586207,1279.974358974359,2575.8076923076924,828.24,2830.608695652174,535.8636363636364,4379.677419354839,10530.1,60.95238095238095
4256,21.57621315867818,2104.7302631578946,5675.153846153846,6211.268518518518,112.6590909090909,11294.566037735849,9127.337662337663,3980.032258064516,1081.7179487179487,679.1379310344828,196.1818181818182,1843.095238095238,2444.1923076923076,1282.6078431372548,141.65217391304347,16186.0,2595.133333333333,2752.5925925925926,8043.64,90.50909090909092,171.76923076923077,718.9354838709677,2180.5862068965516,2298.2051282051284,1936.576923076923,1660.72,4258.652173913043,1767.3181818181818,5252.709677419355,11766.95,113.28571428571429
