entrezgene,Components
2268,1
2519,1
5893,1
51056,1
3927,1
4074,1
3382,1
8837,1
10181,1
381,1
23098,1
26073,1
23129,1
204,1
2288,1
23028,1
10180,1
5965,1
115703,1
4706,1
5976,1
292,1
5439,1
5577,1
7748,1
23077,1
26224,1
3683,1
7543,1
3920,1
3674,1
51573,1
9020,1
163,1
10127,1
51330,1
5898,1
80853,1
54623,1
27072,1
60528,1
8735,1
57787,1
9703,1
8522,1
55692,1
55735,1
1870,1
3720,1
65220,1
6856,1
9043,1
51188,1
84954,1
4257,1
4784,1
6482,1
5310,1
9862,1
54497,1
10747,1
199870,1
80342,1
9031,1
51603,1
8798,1
7756,1
7384,1
83930,1
928,1
9918,1
11188,1
920,1
695,1
3077,1
2534,1
3097,1
6924,1
55727,1
26993,1
5725,1
5329,1
23637,1
5536,1
57146,1
2067,1
2137,1
60481,1
240,1
57658,1
30845,1
5704,1
23324,1
9961,1
51667,1
10460,1
823,1
10138,1
7454,1
23386,1
10928,1
25937,1
63932,1
23584,1
8685,1
56981,1
54764,1
9716,1
51507,1
55778,1
6050,1
4719,1
23071,1
211,1
6617,1
50619,1
2730,1
23304,1
7431,1
8635,1
960,1
11119,1
5583,1
6642,1
9519,1
9774,1
9135,1
3149,1
578,1
2896,1
6301,1
8498,1
55236,1
9846,1
535,1
8554,1
321,1
5606,1
9168,1
25897,1
7414,1
8439,1
55773,1
8452,1
54888,1
54455,1
23644,1
1462,1
23274,1
11284,1
140876,1
9440,1
54884,1
822,1
1175,1
23338,1
1495,1
5256,1
3309,1
22884,1
5431,1
56204,1
7175,1
4134,1
57545,1
168850,1
55173,1
55187,1
1298,1
1161,1
9563,1
9341,1
3604,1
81037,1
3074,1
9709,1
5291,1
80143,1
23223,1
6307,1
55761,1
83714,1
3784,1
27095,1
9967,1
25771,1
23224,1
84957,1
2581,1
8454,1
26999,1
23118,1
58508,1
23369,1
55609,1
54542,1
131566,1
2665,1
57458,1
23200,1
29927,1
9696,1
54432,1
6916,1
5832,1
6515,1
5662,1
9150,1
8531,1
65125,1
55749,1
11054,1
9410,1
30,1
60488,1
23041,1
65056,1
84649,1
63916,1
23063,1
29998,1
11338,1
29924,1
2817,1
6047,1
23534,1
8625,1
9170,1
5476,1
1265,1
10347,1
6882,1
23294,1
8943,1
2773,1
1606,1
91526,1
3735,1
55633,1
9748,1
51167,1
5588,1
23216,1
55810,1
4904,1
5141,1
1994,1
57609,1
9682,1
6550,1
64834,1
27107,1
