entrezgene,Components
4287,1
55102,1
10565,1
9650,1
10734,1
8653,1
5214,1
6672,1
23471,1
5315,1
79091,1
387,1
1659,1
5590,1
55699,1
3421,1
79641,1
6093,1
5165,1
8692,1
80347,1
4205,1
2182,1
56850,1
55771,1
9741,1
57217,1
10235,1
5526,1
55746,1
55737,1
10294,1
602,1
8514,1
10060,1
29121,1
57661,1
8518,1
23293,1
10272,1
9993,1
79364,1
57704,1
3340,1
440,1
1459,1
6949,1
998,1
490,1
8440,1
9448,1
6160,1
9948,1
22846,1
6400,1
537,1
53615,1
5134,1
51109,1
87,1
23503,1
55679,1
10290,1
27125,1
3028,1
55743,1
4775,1
37,1
6793,1
23291,1
8907,1
83642,1
80216,1
6605,1
55876,1
5927,1
9175,1
6480,1
10129,1
8301,1
4905,1
23332,1
489,1
3998,1
23140,1
2023,1
57719,1
55160,1
27332,1
9605,1
5250,1
64778,1
2355,1
285527,1
23505,1
6624,1
60,1
7879,1
9733,1
55843,1
25996,1
11176,1
88455,1
3385,1
22978,1
55796,1
5909,1
56949,1
5609,1
8527,1
7155,1
56889,1
2975,1
4034,1
51548,1
88,1
832,1
79960,1
2260,1
8530,1
55063,1
4898,1
5108,1
57690,1
83737,1
58476,1
51150,1
57644,1
54472,1
7520,1
11262,1
8569,1
56681,1
51207,1
3835,1
55604,1
5236,1
11158,1
9817,1
51006,1
55183,1
6595,1
10847,1
4850,1
5663,1
56650,1
114819,1
5788,1
9262,1
65094,1
11266,1
51668,1
9689,1
23136,1
4779,1
2932,1
3693,1
23033,1
57226,1
7994,1
79670,1
3842,1
5351,1
3682,1
23047,1
1540,1
25799,1
9422,1
64744,1
54434,1
2950,1
334,1
8648,1
22979,1
10890,1
3030,1
22924,1
790,1
7760,1
231,1
2017,1
2060,1
23139,1
10573,1
55696,1
54469,1
7462,1
10075,1
43,1
51701,1
94005,1
5705,1
51720,1
1071,1
54947,1
6452,1
8602,1
118,1
10992,1
57542,1
54675,1
23368,1
8455,1
2280,1
55968,1
25943,1
56265,1
57506,1
22803,1
6128,1
55423,1
51575,1
51433,1
80024,1
10985,1
10961,1
2521,1
3476,1
53827,1
55900,1
113540,1
23193,1
8079,1
57062,1
23186,1
10558,1
10914,1
8812,1
83719,1
51650,1
4708,1
10726,1
10296,1
3383,1
29888,1
11213,1
4069,1
10081,1
84572,1
57192,1
84196,1
55066,1
16,1
2734,1
55763,1
114882,1
54517,1
3655,1
51776,1
23231,1
55573,1
22861,1
151887,1
5720,1
25831,1
3183,1
11198,1
8487,1
57556,1
8773,1
7430,1
4637,1
26523,1
201294,1
1808,1
10762,1
1312,1
51816,1
10013,1
990,1
8086,1
4214,1
372,1
5742,1
23511,1
10044,1
55357,1
9044,1
51322,1
10101,1
2289,1
6732,1
55168,1
3326,1
3710,1
1832,1
3189,1
51100,1
3983,1
22931,1
4650,1
5714,1
54620,1
4670,1
9524,1
5442,1
610,1
8174,1
2872,1
27037,1
5902,1
9342,1
1399,1
91319,1
100037417,1
5008,1
200312,1
23759,1
6634,1
5594,1
8940,1
27128,1
1416,1
23616,1
24144,1
51386,1
6942,1
84271,1
9701,1
6305,1
25777,1
10126,1
11252,1
162,1
10042,1
10043,1
1120,1
3162,1
8563,1
4174,1
23170,1
23492,1
55954,1
9145,1
8897,1
8542,1
4627,1
25813,1
11020,1
9978,1
83746,1
5905,1
84844,1
50,1
23774,1
9889,1
83933,1
63874,1
23351,1
56948,1
55147,1
10419,1
11154,1
6655,1
51199,1
5836,1
10668,1
5684,1
283578,1
10598,1
23002,1
9517,1
22938,1
3705,1
51635,1
5494,1
2079,1
3091,1
6430,1
23405,1
4522,1
9894,1
22990,1
7443,1
89932,1
60686,1
57820,1
8106,1
6729,1
57680,1
80344,1
4792,1
51016,1
51292,1
5411,1
5875,1
63935,1
2937,1
26133,1
5834,1
23613,1
57446,1
55969,1
4773,1
57167,1
23394,1
5203,1
8480,1
7165,1
80331,1
1522,1
24148,1
81027,1
51012,1
55257,1
10732,1
11083,1
54994,1
55738,1
1917,1
26205,1
994,1
10139,1
79133,1
9770,1
81502,1
10326,1
10483,1
3055,1
9777,1
51340,1
25939,1
10528,1
3420,1
22919,1
182,1
6640,1
128866,1
26051,1
60625,1
116092,1
84557,1
57136,1
9663,1
23347,1
10627,1
23253,1
57534,1
5716,1
6907,1
79868,1
51311,1
56180,1
64743,1
28952,1
6855,1
5355,1
2000,1
5931,1
10084,1
5230,1
6611,1
8266,1
83692,1
6102,1
5127,1
8237,1
27336,1
7076,1
5303,1
10916,1
51260,1
8428,1
5611,1
143,1
28984,1
11151,1
5595,1
79153,1
79767,1
5257,1
57149,1
9688,1
83752,1
9683,1
23568,1
51090,1
1723,1
10664,1
65057,1
4324,1
79650,1
5713,1
55697,1
25839,1
84138,1
9057,1
23659,1
22879,1
56942,1
54985,1
4350,1
51172,1
83716,1
7249,1
26048,1
4833,1
4363,1
64428,1
1186,1
84264,1
79006,1
79791,1
10273,1
4682,1
7329,1
9780,1
23059,1
6923,1
55313,1
3163,1
5934,1
29108,1
6810,1
10423,1
10295,1
84148,1
50615,1
57020,1
9810,1
400506,1
8925,1
123263,1
8766,1
1512,1
25963,1
64397,1
90427,1
23312,1
80208,1
57617,1
79848,1
79752,1
10404,1
1666,1
55284,1
79815,1
10397,1
7227,1
51366,1
1936,1
10671,1
4173,1
4125,1
1891,1
1209,1
64130,1
55011,1
1158,1
23370,1
10848,1
55111,1
8175,1
79735,1
166,1
6449,1
81857,1
11024,1
51231,1
10994,1
9149,1
2821,1
23646,1
51588,1
9253,1
25999,1
58509,1
26093,1
27113,1
7040,1
22898,1
10226,1
2109,1
7297,1
11140,1
8775,1
478,1
5802,1
10945,1
6320,1
9545,1
5518,1
1777,1
26121,1
6142,1
27106,1
5864,1
8178,1
7561,1
6324,1
80714,1
2931,1
64763,1
2901,1
199731,1
56006,1
10156,1
9512,1
10282,1
10135,1
5294,1
26959,1
56829,1
4967,1
11033,1
140545,1
221927,1
11112,1
54504,1
1124,1
83451,1
10392,1
2617,1
2051,1
835,1
51142,1
11333,1
8896,1
8662,1
6878,1
7036,1
64598,1
5118,1
84132,1
23658,1
1174,1
8985,1
6119,1
24146,1
643641,1
27075,1
196,1
5683,1
64983,1
55744,1
55665,1
55069,1
6009,1
10652,1
7461,1
7458,1
64420,1
80709,1
2022,1
203,1
55664,1
55848,1
57589,1
81704,1
7016,1
9827,1
8721,1
2889,1
56654,1
23064,1
54926,1
51104,1
54619,1
83937,1
8661,1
11196,1
64072,1
64115,1
9806,1
3988,1
84445,1
6468,1
10360,1
22849,1
79004,1
64077,1
23560,1
10531,1
7511,1
8453,1
5709,1
5889,1
9110,1
51174,1
3837,1
9570,1
80279,1
9400,1
2584,1
9969,1
8402,1
1362,1
1819,1
117246,1
6603,1
3384,1
1655,1
9267,1
3959,1
3292,1
6945,1
1277,1
51264,1
55379,1
10014,1
8714,1
64750,1
9343,1
29098,1
26118,1
9368,1
54868,1
90410,1
27346,1
230,1
6830,1
57606,1
26511,1
8649,1
4790,1
4126,1
1998,1
6164,1
80273,1
51809,1
1665,1
51274,1
7358,1
1410,1
1075,1
3338,1
29907,1
9404,1
23130,1
10938,1
5007,1
51111,1
9379,1
51338,1
27339,1
79073,1
10612,1
9354,1
1656,1
10114,1
51296,1
4192,1
55626,1
8567,1
833,1
9049,1
4928,1
5715,1
969,1
6404,1
23603,1
4891,1
9761,1
10645,1
51411,1
506,1
10728,1
605,1
2735,1
4048,1
57097,1
4633,1
217,1
8099,1
397,1
2967,1
1967,1
81539,1
2054,1
3458,1
2597,1
1108,1
84519,1
23074,1
56994,1
8078,1
7167,1
5777,1
10162,1
3945,1
9847,1
11021,1
1337,1
8683,1
26127,1
10384,1
51567,1
51389,1
51522,1
55003,1
4739,1
4121,1
57515,1
51020,1
9750,1
10090,1
2178,1
1432,1
6005,1
222658,1
11329,1
9025,1
221692,1
26268,1
23195,1
79865,1
8936,1
202,1
8875,1
55856,1
60682,1
6206,1
51696,1
7922,1
51596,1
84498,1
6908,1
5528,1
23113,1
55770,1
1347,1
55754,1
7422,1
11120,1
55914,1
23438,1
4124,1
3313,1
5201,1
3003,1
6678,1
3550,1
3156,1
10087,1
3702,1
10622,1
4012,1
5810,1
10007,1
5515,1
2908,1
56951,1
23398,1
373,1
80006,1
9555,1
1452,1
57222,1
8992,1
80315,1
3274,1
23567,1
90249,1
58515,1
51300,1
84100,1
27031,1
942,1
26355,1
3836,1
9616,1
54464,1
5210,1
3280,1
7375,1
23527,1
10342,1
3373,1
11334,1
6152,1
55081,1
59345,1
84223,1
523,1
80325,1
50512,1
22937,1
57599,1
25981,1
92999,1
7134,1
4820,1
1981,1
54891,1
55683,1
200576,1
4691,1
7535,1
10096,1
51639,1
9540,1
51277,1
10254,1
1058,1
9595,1
2976,1
29959,1
3676,1
9784,1
5496,1
10297,1
25801,1
83444,1
7841,1
374291,1
84759,1
6711,1
56655,1
6772,1
55825,1
25972,1
9736,1
10190,1
80219,1
55818,1
51652,1
7701,1
8809,1
80146,1
3069,1
5510,1
3241,1
57448,1
55041,1
6801,1
22930,1
6654,1
9167,1
56902,1
5341,1
63892,1
84634,1
7341,1
116444,1
4780,1
65977,1
127428,1
49856,1
57535,1
271,1
6429,1
3749,1
80267,1
3065,1
55870,1
54856,1
9181,1
9927,1
60672,1
4688,1
23169,1
79971,1
23207,1
7709,1
965,1
23046,1
64960,1
7257,1
6018,1
11240,1
1486,1
54680,1
11126,1
1889,1
4179,1
8704,1
79033,1
5052,1
50999,1
11123,1
55758,1
6195,1
29937,1
23673,1
114883,1
57488,1
5955,1
10274,1
56912,1
22926,1
1385,1
8609,1
4033,1
57558,1
84251,1
23469,1
7128,1
9465,1
10981,1
4602,1
26234,1
80264,1
6185,1
8987,1
5493,1
29855,1
11278,1
64342,1
22936,1
57404,1
4709,1
23314,1
51692,1
55127,1
9991,1
23307,1
6418,1
5524,1
2733,1
81932,1
57864,1
79109,1
9525,1
84878,1
56252,1
51077,1
83982,1
91754,1
1743,1
7043,1
81892,1
8111,1
55051,1
54867,1
51646,1
84272,1
54812,1
53335,1
9419,1
26503,1
79627,1
55719,1
84795,1
404636,1
10672,1
63931,1
6950,1
56943,1
84898,1
80314,1
9617,1
29103,1
80209,1
51569,1
11193,1
1997,1
4093,1
2107,1
7045,1
64374,1
51247,1
51780,1
22835,1
8835,1
4801,1
51019,1
317,1
1191,1
2185,1
23435,1
10987,1
157506,1
8161,1
7706,1
59342,1
23240,1
113,1
55268,1
65982,1
6045,1
26984,1
1475,1
55211,1
80218,1
847,1
7750,1
2170,1
10657,1
729230,1
51193,1
5290,1
23244,1
11019,1
387496,1
54440,1
51116,1
1314,1
29066,1
311,1
11155,1
79903,1
100505741,1
343099,1
79871,1
989,1
80820,1
3181,1
3624,1
11328,1
92014,1
79269,1
78996,1
8034,1
84329,1
79039,1
23389,1
3709,1
64168,1
79002,1
976,1
84650,1
10133,1
466,1
64333,1
3071,1
5204,1
5153,1
4035,1
60673,1
4778,1
10376,1
55709,1
79828,1
79809,1
9111,1
50486,1
57826,1
1164,1
57580,1
6385,1
8202,1
51604,1
514,1
5335,1
57169,1
1434,1
55661,1
5184,1
23096,1
55577,1
11017,1
23326,1
79177,1
8239,1
2162,1
89845,1
221443,1
6903,1
10930,1
54210,1
6659,1
51299,1
9972,1
79026,1
23019,1
2806,1
2841,1
9375,1
3659,1
4694,1
27109,1
4620,1
30833,1
7270,1
79143,1
4987,1
79144,1
3553,1
51141,1
23550,1
79085,1
5623,1
2962,1
5469,1
9322,1
56927,1
6633,1
6253,1
7408,1
8189,1
56261,1
80025,1
22918,1
10616,1
56255,1
6628,1
6238,1
11034,1
6629,1
10236,1
63941,1
22913,1
83658,1
8894,1
11190,1
101410538,1
7517,1
826,1
79171,1
10870,1
83786,1
3661,1
3276,1
6776,1
8678,1
10131,1
171017,1
5199,1
2002,1
22890,1
26030,1
55112,1
3188,1
821,1
1350,1
7186,1
79575,1
5908,1
8089,1
23352,1
30817,1
23309,1
58513,1
10975,1
117166,1
84219,1
23499,1
23030,1
83460,1
7277,1
14,1
1892,1
7979,1
5782,1
5447,1
10875,1
51657,1
79689,1
84060,1
163131,1
7538,1
85378,1
79924,1
468,1
11135,1
80833,1
8459,1
23780,1
5880,1
9296,1
51691,1
4289,1
10651,1
64172,1
6638,1
57705,1
54617,1
54629,1
1315,1
5682,1
25870,1
8048,1
6665,1
968,1
482,1
10749,1
51105,1
23639,1
904,1
65095,1
3609,1
57153,1
27180,1
25983,1
4738,1
7011,1
81533,1
6397,1
79651,1
9459,1
2258,1
9070,1
81926,1
7137,1
158747,1
51295,1
26526,1
10452,1
147965,1
9667,1
148229,1
84705,1
376497,1
64981,1
56995,1
51250,1
83861,1
4298,1
81,1
10095,1
55201,1
9518,1
3727,1
54795,1
79230,1
92359,1
140685,1
4046,1
7136,1
10844,1
10298,1
26152,1
9885,1
11047,1
10585,1
27243,1
9040,1
10155,1
54958,1
83667,1
54797,1
9026,1
57693,1
56342,1
8666,1
1786,1
1736,1
55422,1
91574,1
7317,1
23345,1
25980,1
55902,1
7700,1
10328,1
51659,1
5119,1
6451,1
1349,1
80758,1
4772,1
10487,1
5538,1
84440,1
51132,1
84658,1
9467,1
11127,1
4245,1
47,1
1729,1
7322,1
60412,1
116983,1
8500,1
3597,1
1160,1
84240,1
5160,1
55145,1
145447,1
2643,1
3337,1
5989,1
6737,1
22907,1
23225,1
84034,1
85363,1
26515,1
23167,1
10989,1
51318,1
51540,1
5791,1
23108,1
51763,1
6117,1
7326,1
57533,1
26057,1
23558,1
3021,1
1984,1
54739,1
1742,1
157680,1
84105,1
2319,1
51388,1
29107,1
10621,1
9826,1
9633,1
4678,1
56259,1
10955,1
8546,1
51164,1
10208,1
64328,1
1024,1
241,1
4628,1
4608,1
25778,1
7178,1
55425,1
55859,1
84923,1
84787,1
84330,1
55748,1
5920,1
4629,1
123811,1
22880,1
474344,1
55303,1
10526,1
51520,1
1875,1
23075,1
22800,1
3295,1
51669,1
4221,1
80017,1
8650,1
4017,1
55140,1
51124,1
8536,1
7428,1
89978,1
56851,1
10451,1
84722,1
6272,1
10542,1
4853,1
9398,1
377,1
79022,1
10971,1
57498,1
285148,1
3939,1
3572,1
6210,1
4677,1
84893,1
84991,1
85019,1
1794,1
2012,1
3821,1
53,1
51634,1
9698,1
8565,1
1912,1
192670,1
23318,1
746,1
55858,1
9575,1
7174,1
3703,1
2113,1
219855,1
55312,1
29979,1
55071,1
23670,1
23287,1
10906,1
85025,1
55122,1
79899,1
4005,1
55226,1
4076,1
85406,1
967,1
10220,1
2647,1
7024,1
84872,1
10956,1
57224,1
8676,1
10574,1
8291,1
84865,1
2799,1
1368,1
9764,1
54583,1
22796,1
2752,1
10228,1
6041,1
1660,1
57710,1
9857,1
116496,1
55619,1
9470,1
51719,1
55654,1
79074,1
10154,1
23325,1
50853,1
2317,1
55213,1
29079,1
51131,1
9445,1
55270,1
1102,1
3936,1
64759,1
313,1
9238,1
54606,1
3364,1
28988,1
83605,1
64005,1
27141,1
58489,1
10241,1
55316,1
4836,1
6426,1
10238,1
80774,1
11143,1
57129,1
6434,1
64844,1
2058,1
51133,1
55339,1
84317,1
79595,1
92856,1
10730,1
64215,1
25934,1
7295,1
23392,1
64855,1
1318,1
7099,1
10868,1
54534,1
10244,1
2800,1
10541,1
5082,1
11224,1
79139,1
90871,1
55833,1
7094,1
51754,1
10695,1
116113,1
7746,1
23070,1
25844,1
81853,1
10817,1
8737,1
3159,1
10211,1
8870,1
79969,1
7172,1
129685,1
132864,1
85462,1
7097,1
408,1
338699,1
4926,1
27314,1
5547,1
29088,1
6386,1
4750,1
6653,1
84259,1
2230,1
79811,1
7057,1
6176,1
5330,1
102,1
51187,1
1629,1
3032,1
1545,1
5861,1
10097,1
80204,1
10128,1
10121,1
26509,1
57559,1
1847,1
403,1
9585,1
953,1
51196,1
23317,1
310,1
6229,1
471,1
6775,1
29081,1
4664,1
9360,1
29789,1
10063,1
83666,1
29766,1
84993,1
8916,1
55435,1
3184,1
153020,1
22872,1
84162,1
5910,1
55132,1
55589,1
9908,1
246175,1
9061,1
10427,1
5530,1
91445,1
64098,1
58516,1
254013,1
85437,1
4704,1
9746,1
55080,1
939,1
83758,1
196500,1
347902,1
9169,1
84298,1
11010,1
1848,1
6636,1
121260,1
6996,1
51228,1
9815,1
84260,1
9107,1
283537,1
85478,1
79035,1
91012,1
3695,1
23344,1
7009,1
115825,1
54509,1
64062,1
10150,1
81542,1
10516,1
7453,1
81614,1
9990,1
4236,1
6652,1
256586,1
663,1
7090,1
9051,1
597,1
10363,1
10499,1
4123,1
59274,1
3480,1
9960,1
585,1
10066,1
5428,1
11057,1
374655,1
55898,1
55784,1
8826,1
23478,1
84656,1
64755,1
79068,1
85407,1
9785,1
463,1
84166,1
8996,1
8720,1
23174,1
3394,1
54925,1
5170,1
22980,1
9611,1
28987,1
85464,1
10351,1
1213,1
54828,1
51651,1
10939,1
3613,1
2774,1
25800,1
29919,1
409,1
84225,1
50488,1
11322,1
9123,1
9775,1
1453,1
6904,1
57521,1
56270,1
10907,1
773,1
113230,1
23476,1
29985,1
4782,1
5211,1
55527,1
7409,1
93343,1
641649,1
3454,1
7226,1
351,1
207,1
10055,1
114783,1
4542,1
91662,1
126208,1
90580,1
89790,1
90353,1
79180,1
5226,1
3339,1
23421,1
26135,1
8915,1
6202,1
8543,1
85369,1
963,1
223,1
481,1
6846,1
64326,1
5202,1
51093,1
93183,1
26092,1
81609,1
9869,1
4170,1
5298,1
55793,1
8416,1
29956,1
2029,1
55204,1
11221,1
7159,1
10899,1
5872,1
6279,1
7170,1
23557,1
11000,1
1944,1
65123,1
58,1
2590,1
51097,1
1130,1
6726,1
163859,1
8560,1
375,1
3707,1
8476,1
142,1
29920,1
127833,1
127829,1
10130,1
388,1
92906,1
27436,1
9391,1
23020,1
51002,1
113419,1
5899,1
11159,1
130507,1
3329,1
132001,1
9686,1
5868,1
85403,1
51143,1
115286,1
9039,1
10550,1
26018,1
64332,1
114885,1
4026,1
9711,1
9730,1
55840,1
8893,1
1609,1
10861,1
132299,1
58478,1
93587,1
100996939,1
92345,1
285533,1
6715,1
5295,1
10788,1
23262,1
689,1
25816,1
56929,1
23092,1
9547,1
9879,1
153830,1
81545,1
10146,1
55651,1
91272,1
340156,1
153527,1
81786,1
54540,1
79930,1
285855,1
4794,1
135293,1
256380,1
154214,1
58527,1
51390,1
6993,1
3486,1
4191,1
2631,1
908,1
5723,1
222255,1
56257,1
55281,1
11011,1
51631,1
30011,1
4478,1
9203,1
90060,1
3561,1
139818,1
526,1
79618,1
55909,1
9046,1
91782,1
6867,1
51125,1
54904,1
5440,1
7553,1
1030,1
84186,1
414328,1
58493,1
2934,1
92399,1
286204,1
210,1
6836,1
6838,1
80142,1
56904,1
84895,1
9536,1
9919,1
254427,1
23412,1
29982,1
26091,1
83938,1
818,1
27063,1
120,1
54788,1
6934,1
196743,1
9446,1
85450,1
22984,1
84280,1
55327,1
27315,1
10480,1
5795,1
84364,1
5058,1
472,1
55004,1
6768,1
10525,1
26007,1
9219,1
1111,1
51092,1
6876,1
149951,1
149986,1
84304,1
83706,1
2197,1
738,1
6911,1
5531,1
226,1
3688,1
1489,1
51503,1
219854,1
114609,1
10284,1
4253,1
22948,1
55216,1
26521,1
2308,1
9871,1
196383,1
7316,1
25819,1
775,1
55768,1
89910,1
1977,1
283635,1
2132,1
4718,1
63894,1
8872,1
112936,1
152485,1
22944,1
6868,1
2180,1
60485,1
51594,1
26272,1
56477,1
667,1
130340,1
9910,1
80097,1
4249,1
253635,1
79833,1
115761,1
57724,1
498,1
115106,1
5140,1
83439,1
10618,1
127933,1
83734,1
143884,1
814,1
255967,1
114908,1
8404,1
4154,1
133686,1
51128,1
56978,1
3087,1
7402,1
9453,1
9412,1
152789,1
10283,1
6728,1
64946,1
10018,1
831,1
8467,1
3192,1
5903,1
25909,1
4929,1
5937,1
10225,1
22878,1
125476,1
124402,1
26175,1
112616,1
22934,1
10428,1
9320,1
79047,1
1105,1
10750,1
55364,1
404550,1
64221,1
54463,1
23043,1
252969,1
84033,1
81559,1
115362,1
8470,1
6921,1
23643,1
54148,1
7508,1
201163,1
9989,1
65258,1
84532,1
7071,1
528,1
158219,1
64210,1
83742,1
1622,1
55027,1
9056,1
133383,1
138241,1
118788,1
129831,1
7273,1
11326,1
9601,1
56254,1
9844,1
134353,1
9443,1
6503,1
51643,1
7411,1
138199,1
90550,1
10538,1
1633,1
137682,1
123720,1
10694,1
571,1
23552,1
119392,1
9556,1
6156,1
159090,1
3098,1
9246,1
25921,1
219541,1
60685,1
80223,1
9131,1
9530,1
78994,1
23355,1
5147,1
7862,1
285367,1
51738,1
6396,1
23049,1
115548,1
11030,1
55707,1
8321,1
55799,1
2078,1
2114,1
84187,1
124565,1
114991,1
84262,1
9364,1
127281,1
55229,1
64897,1
11079,1
26119,1
200634,1
9577,1
144406,1
63875,1
127262,1
195827,1
8450,1
387509,1
9669,1
375307,1
3745,1
911,1
653361,1
124245,1
81544,1
137964,1
8407,1
2005,1
54935,1
115992,1
4681,1
7391,1
92822,1
65018,1
2039,1
4720,1
4359,1
57805,1
54461,1
3455,1
6651,1
1827,1
149473,1
873,1
70,1
23515,1
5763,1
51706,1
5710,1
23400,1
7832,1
266747,1
1636,1
1487,1
29800,1
9114,1
181,1
5681,1
29,1
150275,1
203260,1
1676,1
29101,1
118424,1
2063,1
131076,1
53347,1
7307,1
8566,1
2539,1
7109,1
139716,1
326,1
755,1
3689,1
85395,1
4047,1
8888,1
54058,1
125875,1
11094,1
148206,1
126526,1
27433,1
92799,1
84446,1
57551,1
9442,1
162989,1
9159,1
6294,1
643,1
55823,1
79671,1
3570,1
200186,1
2224,1
10712,1
11243,1
4634,1
9592,1
51160,1
54784,1
8878,1
9794,1
222229,1
222236,1
150223,1
55324,1
199746,1
2905,1
29115,1
126133,1
3678,1
80174,1
113026,1
160622,1
147841,1
221496,1
340205,1
115950,1
388325,1
26168,1
1973,1
6154,1
339123,1
90864,1
57465,1
51005,1
7627,1
220002,1
51035,1
283237,1
6811,1
7542,1
219931,1
4116,1
23358,1
57643,1
3716,1
116362,1
7805,1
553115,1
5928,1
57648,1
54587,1
199990,1
1953,1
4774,1
83941,1
8880,1
91624,1
284611,1
2634,1
127002,1
10092,1
114548,1
93185,1
114836,1
127943,1
2215,1
10380,1
148362,1
129285,1
55220,1
23498,1
9261,1
824,1
51127,1
84661,1
129450,1
79568,1
26225,1
72,1
3020,1
56997,1
1520,1
388695,1
6944,1
55677,1
6282,1
9938,1
6280,1
54876,1
118429,1
8545,1
127579,1
55249,1
476,1
6565,1
60675,1
92691,1
3490,1
3577,1
7203,1
84283,1
7048,1
55139,1
201595,1
81788,1
3428,1
56648,1
200916,1
100507246,1
23429,1
23001,1
285521,1
11102,1
285368,1
64419,1
441024,1
84343,1
54861,1
7349,1
130557,1
22950,1
57456,1
7707,1
55689,1
90407,1
6184,1
59343,1
8314,1
7086,1
5580,1
23272,1
50650,1
4043,1
200931,1
4241,1
9255,1
133308,1
51246,1
10252,1
8927,1
327,1
63891,1
80167,1
51368,1
8819,1
308,1
26269,1
80817,1
23379,1
11157,1
4338,1
91942,1
25836,1
134429,1
134147,1
4724,1
134266,1
153642,1
22836,1
51752,1
64167,1
253260,1
167153,1
1879,1
10412,1
27089,1
115004,1
153222,1
134957,1
55568,1
79685,1
6208,1
10466,1
54329,1
819,1
285613,1
222962,1
25862,1
94120,1
117289,1
1278,1
25798,1
22853,1
1508,1
10395,1
5828,1
90390,1
23353,1
115330,1
26173,1
6522,1
83590,1
51808,1
7534,1
55656,1
25962,1
9897,1
203259,1
318,1
157378,1
11168,1
6850,1
19,1
4783,1
55798,1
2395,1
216,1
221656,1
80318,1
3190,1
2203,1
11244,1
1536,1
158401,1
5277,1
26130,1
84270,1
4712,1
158234,1
7415,1
30968,1
220213,1
254170,1
219654,1
221035,1
7570,1
23588,1
9147,1
11164,1
51339,1
118881,1
169714,1
63877,1
64324,1
51266,1
7248,1
9790,1
64745,1
57447,1
51222,1
53349,1
79841,1
123036,1
79789,1
51762,1
4714,1
84936,1
25911,1
8539,1
57567,1
79803,1
9221,1
8879,1
5092,1
25820,1
119032,1
119504,1
322,1
3611,1
6881,1
1200,1
1528,1
119710,1
3419,1
254225,1
56672,1
5598,1
5579,1
50810,1
4176,1
338339,1
7084,1
81565,1
7184,1
780776,1
9382,1
9640,1
164,1
162394,1
89927,1
9665,1
219539,1
5479,1
84191,1
9768,1
124491,1
290,1
348094,1
162681,1
23339,1
6778,1
219988,1
91419,1
54893,1
7529,1
81628,1
91433,1
4141,1
114785,1
245812,1
2923,1
5245,1
6632,1
2801,1
81605,1
10229,1
23102,1
124460,1
7644,1
51367,1
10632,1
146705,1
6786,1
64122,1
79759,1
9726,1
79001,1
7171,1
4218,1
55295,1
81620,1
121274,1
147015,1
7846,1
84790,1
84436,1
55762,1
29946,1
148137,1
84807,1
83696,1
10653,1
1613,1
126259,1
10036,1
84717,1
729359,1
10501,1
55311,1
90990,1
124935,1
124997,1
84926,1
4723,1
79003,1
10871,1
11314,1
3396,1
92162,1
6730,1
137695,1
100505501,1
83986,1
90850,1
